ano_calendario,conteudo_codigo,conteudo_descricao,valor_total,total,acum,gera_credito
2024,10.01.00021,4022 - Serviços prestados por terceiros,15726134.56,0.07118090989051215,59.388086198727905,S
2024,10.01.00015,Serviços Tomados,15712924.71,0.0711211183925487,59.45920731712045,S
2024,11.01.00006,Carnê-leão pago,15587808.21,0.07055480590944374,59.5297621230299,N
2023,10.01.00015,Despesas diversas,15353951.55,0.06949630486589448,59.59925842789579,N
2023,10.01.00061,Fundesp e taxas judiciais,15266952.88,0.06910252440660632,59.6683609523024,N
2023,10.01.00015,Compras de Milhas,15248994.3,0.06902123882050984,59.73738219112291,N
2024,10.01.00015,Despesas Livro Caixa,15226705.7,0.06892035434555302,59.80630254546846,N
2024,10.01.00015,Custos Operacionais,15168119.11,0.06865517495466891,59.87495772042313,S
2023,10.01.00021,REEMBOLSO AO TRIBUNAL,14793260.7,0.06695846031687235,59.94191618074001,N
2024,10.01.00012,"4013 - Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS",14706288.8,0.06656480102613646,60.00848098176615,N
2024,10.01.00015,Despesas Dedutíveis Gerais e Repasse ao Iss,14000958.78,0.06337227889648395,60.071853260662635,N
2023,10.01.00015,Material de consumo,13806168.15,0.062490601696747076,60.13434386235938,S
2023,10.01.00015,Despesas Dedutíveis Gerais e Repasse ao Iss,13798953.24,0.0624579449840235,60.196801807343405,N
2023,11.01.00006,Carnê-leão pago,13454340.63,0.06089813134730589,60.25769993869071,N
2024,10.01.00015,Prestador de Serviços,13424530.48,0.060763202220706025,60.31846314091142,N
2024,10.01.00015,Material de consumo,13351235.31,0.0604314476581799,60.3788945885696,S
2023,10.01.00015,Pagamentos a PJ cf nota fiscal,13198353.25,0.059739460438102604,60.4386340490077,N
2024,10.01.00015,DESPESAS TOTAIS DE LIVRO CAIXA,13142962.46,0.059488746137222666,60.49812279514492,N
2024,10.01.00003,ESTADO S/ATOS NOTARIAIS,13112511.99,0.059350918742135585,60.557473713887056,N
2024,10.01.00093,SALÁRIOS,13041937.86,0.05903148037227012,60.616505194259325,N
2023,10.01.00001,Agua,13019003.15,0.05892767142165696,60.67543286568098,N
2024,10.01.00015,Material de Consumo,12370949.44,0.05599439798693428,60.73142726366792,S
2024,10.01.00015,Outras Dedutiveis,12288516.64,0.05562128393996771,60.78704854760789,N
2024,10.01.00015,Material odontológico,12202363.8,0.05523133194525123,60.84227987955314,S
2023,10.01.00015,Material odontológico,12072737.01,0.05464460462054326,60.89692448417368,S
2023,10.01.00015,Outras Dedutiveis,11955867.1,0.054115618524126295,60.95104010269781,N
2023,10.01.00015,DESPESAS DIVERSAS,11943167.84,0.05405813810016786,61.00509824079798,N
2023,10.01.00015,Prestador de Serviços,11426561.27,0.051719831406446135,61.05681807220442,N
2024,10.01.00003,Custo Direto Realiz. Leilao,11390203.56,0.05155526618099538,61.10837333838542,S
2023,10.01.00015,Material de Consumo,11245885.72,0.05090204303035783,61.159275381415775,S
2024,10.01.00016,4017 - Outros Despesas,11167419.02,0.05054688066793519,61.20982226208371,N
2024,10.01.00016,INSS,11140032.98,0.050422923745268626,61.26024518582898,N
2023,10.01.00015,Material Médico,11134274.41,0.05039685883715631,61.31064204466613,S
2023,10.01.00019,Despesa com cartório,11072370.45,0.050116664096241804,61.360758708762376,N
2024,10.01.00006,DESPESAS DEDUTÍVEIS,11039503.12,0.04996789731276137,61.41072660607514,N
2024,10.01.00006,Despesas dedutiveis conforme livro auxiliar,11021111.33,0.049884650896312346,61.46061125697145,N
2024,10.01.00015,AO ESTADO - SP. - RECOLHIMENTO RELATIVO AOS ATOS PRATICADOS NO MÊS,10943370.42,0.049532773663645675,61.51014403063509,N
2024,10.01.00015,LIVRO CAIXA TOTAL,10917306.06,0.049414799036541,61.55955882967163,N
2024,10.01.00018,Materiais Aplicados na Prestação de Serviços,10884507.37,0.049266342937013846,61.60882517260865,S
2024,10.01.00015,Total de Despesas,10817277.57,0.04896204194572454,61.65778721455437,N
2023,10.01.00015,DESPESAS TOTAIS DE LIVRO CAIXA,10730070.82,0.04856731965780877,61.706354534212174,N
2023,10.01.00015,LIVRO CAIXA TOTAL,10629922.31,0.04811401932270219,61.75446855353488,N
2023,10.01.00015,Remoção / Guincho,10511630.33,0.04757859653733654,61.80204715007221,N
2024,10.01.00015,Material de Uso e Consumo,10270581.43,0.04648754139186237,61.848534691464074,S
2023,10.01.00012,"4013 - Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS",9961720.66,0.04508955064250151,61.893624242106576,N
2023,10.01.00015,CUSTO DOS SERVIÇOS PRESTADOS,9909488.12,0.04485313146976027,61.93847737357633,S
2024,10.01.00001,TOTAL DE DESPESAS DEDUTÍVEIS,9860060.12,0.044629406434174144,61.98310678001051,N
2024,10.01.00032,4033 - FERJ,9836709.26,0.0445237138715686,62.02763049388208,N
2024,10.01.00020,Fundo Estaduais ,9750541.75,0.04413369547630442,62.07176418935838,N
2023,10.01.00015,PAGAMENTOS,9602766.55,0.043464823341507405,62.11522901269989,N
2024,11.01.00004,Aquisição de máquina e equipamento,9589326.5,0.043403989893572435,62.15863300259346,S
2023,10.01.00015,AO ESTADO - SP. - RECOLHIMENTO RELATIVO AOS ATOS PRATICADOS NO MÊS,9417698.51,0.04262715331976153,62.201260155913225,N
2024,10.01.00015,Material Médico,9397967.6,0.042537845669403496,62.243798001582626,S
2023,10.01.00026,"4027 - Serviços Contábil, Fiscal e Trabalhista",9349242.6,0.0423173026096209,62.28611530419224,S
2023,10.01.00012,Material de consultório,9348387.74,0.042313433272728435,62.328428737464975,S
2024,10.01.00016,Material Odontológico,9180426.75,0.041553194572703525,62.36998193203768,S
2024,10.01.00012,Material de consultório,9150606.8,0.04141822108854623,62.41140015312623,S
2023,11.01.00004,Aquisição de máquina e equipamento,9086360.81,0.04112742566087333,62.452527578787105,S
