0191_agricultura_inclusive_o_apoio_a_agricultura_e_a_pos_colheita,0192_pecuaria_inclusive_o_apoio_a_pecuaria,0280_producao_florestal_pesca_e_aquicultura,0580_extracao_de_carvao_mineral_e_de_minerais_nao_metalicos,0680_extracao_de_petroleo_e_gas_inclusive_as_atividades_de_apoio,0791_extracao_de_minerio_de_ferro_inclusive_beneficiamentos_e_a_aglomeracao,0792_extracao_de_minerais_metalicos_nao_ferrosos_inclusive_beneficiamentos,1091_abate_e_produtos_de_carne_inclusive_os_produtos_do_laticinio_e_da_pesca,1092_fabricacao_e_refino_de_acucar,1093_outros_produtos_alimentares,1100_fabricacao_de_bebidas,1200_fabricacao_de_produtos_do_fumo,1300_fabricacao_de_produtos_texteis,1400_confeccao_de_artefatos_do_vestuario_e_acessorios,1500_fabricacao_de_calcados_e_de_artefatos_de_couro,1600_fabricacao_de_produtos_da_madeira,1700_fabricacao_de_celulose_papel_e_produtos_de_papel,1800_impressao_e_reproducao_de_gravacoes,1991_refino_de_petroleo_e_coquerias,1992_fabricacao_de_biocombustiveis,2091_fabricacao_de_quimicos_organicos_e_inorganicos_resinas_e_elastomeros,2092_fabricacao_de_defensivos_desinfestantes_tintas_e_quimicos_diversos,2093_fabricacao_de_produtos_de_limpeza_cosmeticos_perfumaria_e_higiene_pessoal,2100_fabricacao_de_produtos_farmoquimicos_e_farmaceuticos,2200_fabricacao_de_produtos_de_borracha_e_de_material_plastico,2300_fabricacao_de_produtos_de_minerais_nao_metalicos,2491_producao_de_ferro_gusa_ferroligas_siderurgia_e_tubos_de_aco_sem_costura,2492_metalurgia_de_metais_nao_ferrosos_e_a_fundicao_de_metais,2500_fabricacao_de_produtos_de_metal_exceto_maquinas_e_equipamentos,2600_fabricacao_de_equipamentos_de_informatica_produtos_eletronicos_e_opticos,2700_fabricacao_de_maquinas_e_equipamentos_eletricos,2800_fabricacao_de_maquinas_e_equipamentos_mecanicos,2991_fabricacao_de_automoveis_caminhoes_e_onibus_exceto_pecas,2992_fabricacao_de_pecas_e_acessorios_para_veiculos_automotores,3000_fabricacao_de_outros_equipamentos_de_transporte_exceto_veiculos_automotores,3180_fabricacao_de_moveis_e_de_produtos_de_industrias_diversas,3300_manutencao_reparacao_e_instalacao_de_maquinas_e_equipamentos,3500_energia_eletrica_gas_natural_e_outras_utilidades,3680_agua_esgoto_e_gestao_de_residuos,4180_construcao,4500_comercio_e_reparacao_de_veiculos_automotores_e_motocicletas,4680_comercio_por_atacado_e_a_varejo_exceto_veiculos_automotores,4900_transporte_terrestre,5000_transporte_aquaviario,5100_transporte_aereo,5280_armazenamento_atividades_auxiliares_dos_transportes_e_correio,5500_alojamento,5600_alimentacao,5800_edicao_e_edicao_integrada_a_impressao,5980_atividades_de_televisao_radio_cinema_e_gravacao_edicao_de_som_e_imagem,6100_telecomunicacoes,6280_desenvolvimento_de_sistemas_e_outros_servicos_de_informacao,6480_intermediacao_financeira_seguros_e_previdencia_complementar,6800_atividades_imobiliarias,6980_atividades_juridicas_contabeis_consultoria_e_sedes_de_empresas,7180_servicos_de_arquitetura_engenharia_testes_analises_tecnicas_e_p_d,7380_outras_atividades_profissionais_cientificas_e_tecnicas,7700_alugueis_nao_imobiliarios_e_gestao_de_ativos_de_propriedade_intelectual,7880_outras_atividades_administrativas_e_servicos_complementares,8000_atividades_de_vigilancia_seguranca_e_investigacao,8400_administracao_publica_defesa_e_seguridade_social,8591_educacao_publica,8592_educacao_privada,8691_saude_publica,8692_saude_privada,9080_atividades_artisticas_criativas_e_de_espetaculos,9480_organizacoes_associativas_e_outros_servicos_pessoais,9700_servicos_domesticos,adm_publica,total_do_produto
244,4394,3,0,0,0,0,28937,0,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,558,2528,0,0,0,0,0,0,0,0,0,0,0,0,105,54,18,81,24,0,0,0,240,40927
3062,3035,3871,2,0,0,0,632,0,247,2,6,44,8,8,4354,7059,0,0,6,480,0,0,0,1164,129,1763,0,11,0,0,0,0,0,0,2,0,0,0,1247,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,10,0,0,0,0,0,0,23,27429
44,50,1168,0,0,0,0,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,908,0,0,0,0,0,0,0,0,0,0,0,0,180,119,18,156,32,0,0,0,455,6498
0,0,0,0,0,0,11,17,0,19,0,0,0,0,0,0,0,0,98,0,156,0,0,0,0,9,14920,1122,0,0,0,0,0,115,0,0,0,4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20624
112,1182,36,576,1159,0,0,136,26,445,0,0,0,0,0,0,4,0,0,880,6778,180,0,0,0,11328,964,679,2,0,83,0,0,51,0,48,0,0,881,11629,0,169,0,0,0,9,0,0,0,0,0,0,0,413,0,0,0,0,0,0,135,27,0,11,1,0,0,0,173,37944
0,0,0,3,9619,261,20,91,0,880,184,0,152,0,0,82,1007,0,189430,0,2642,100,27,44,108,827,455,398,503,0,26,25,62,175,0,0,0,30381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,237579
0,0,0,0,0,9049,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,68492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,78122
0,0,0,0,122,61,2651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4271,14488,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21717
12,4571,2,0,0,0,0,12800,0,1483,0,0,0,0,2496,0,0,0,0,1757,0,0,5987,0,0,0,0,0,158,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,542,22481,0,0,0,0,0,0,0,0,0,0,0,0,2556,1389,324,1820,831,6,224,0,5765,59441
0,0,0,0,0,0,0,12304,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1755,0,0,0,0,0,0,0,0,0,0,0,0,54,33,7,45,77,0,0,0,132,14301
0,0,0,0,0,0,0,9040,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,61,5371,0,0,0,0,0,0,0,0,0,0,0,0,550,316,72,410,180,0,70,0,1276,16930
0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1472,0,0,0,0,0,0,0,0,0,0,0,0,118,69,3,96,13,0,12,0,283,1835
0,0,0,0,0,0,0,16857,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,703,0,0,0,0,0,0,0,0,0,0,0,0,1458,407,64,527,235,0,9,0,2392,20780
0,0,0,0,0,0,0,10411,0,3066,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,148,2452,0,0,0,0,0,0,0,1,0,0,0,0,375,204,37,301,121,0,76,0,880,17249
35,170,3,0,0,0,0,673,3641,8959,2023,0,0,0,0,0,0,0,0,2622,0,914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,6,1894,0,0,0,0,4,0,0,2,0,0,3,0,217,125,15,162,38,0,13,0,504,21550
0,0,0,0,0,0,0,234,0,3974,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2032,0,0,0,0,0,0,0,2,0,0,0,0,900,489,66,635,125,0,11,0,2024,9047
1003,5850,15,0,0,0,0,22513,0,45328,0,0,0,0,0,0,0,0,0,12113,4,295,1705,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1050,0,0,0,0,16,7032,0,0,0,0,0,0,0,1,0,0,0,0,269,153,20,210,55,0,25,0,632,97669
0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,36,0,0,35,0,105,2934,0,0,0,0,188,23,25,0,0,0,2,0,188,107,15,138,73,0,23,0,433,4405
24,82,1,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2137,0,0,0,0,0,0,0,0,0,0,0,0,647,350,44,454,112,0,40,0,1451,4600
30,743,1,62,0,22,0,7998,0,18102,4160,0,0,0,0,0,2062,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6371,0,0,0,0,4,3676,0,0,0,0,0,0,0,3,0,0,0,0,173,89,8,102,29,0,83,0,364,44700
2327,28453,2570,0,0,0,0,29195,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,114,85,0,13,12,45,1189,0,212,65565
18,207,6,0,0,0,0,7028,0,10083,540,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,482,2,0,0,39,341,6926,0,0,28,0,2,0,24,5,42,0,0,0,1738,1395,236,4011,754,9,53,0,7144,34012
0,0,0,0,0,0,0,721,0,2,16070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,10,0,948,54772,0,0,0,0,128,0,2,0,0,0,1,0,243,140,12,185,262,50,15,0,568,73582
0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
359,4,0,0,0,0,0,0,0,0,0,0,11922,10106,75,0,0,0,0,0,0,0,0,309,135,0,0,0,47,0,0,0,0,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23100
689,0,0,223,0,0,1,0,125,218,0,0,5316,24274,4300,0,0,0,0,0,0,19,0,35,34,10,0,0,74,0,5,0,0,3108,71,2398,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,80,0,4,41000
1357,36,6,275,309,0,13,0,345,374,0,0,8597,1225,1836,0,380,0,0,0,0,63,0,1,1384,36,0,0,3,0,13,16,4,0,79,941,1,38,29,1160,3,282,115,45,0,0,574,403,0,0,0,0,0,0,0,3,0,0,25,0,69,90,0,83,24,0,1968,0,242,22205
4,2,25,2,265,0,0,17,0,14,0,0,19,4088,0,0,0,0,0,0,0,22,0,0,0,36,15,0,122,0,2,2,0,0,0,0,1,174,308,77,1,853,500,22,265,265,187,427,0,274,65,0,988,74,15,396,105,0,337,489,1563,1289,0,195,71,261,2163,0,3047,16000
3,1,0,0,11,0,0,7,0,18,0,0,0,0,11864,0,188,0,0,0,0,3,0,0,0,0,0,0,75,0,0,0,1,9,0,90,0,187,0,48,0,0,0,0,0,0,1,0,0,51,0,11,0,0,0,0,0,0,10,148,37,1,0,0,0,0,0,0,38,12764
1175,783,51,7,0,0,0,74,0,578,207,0,47,0,0,11131,1406,0,0,0,40,79,0,0,0,77,23,0,532,0,4,574,318,122,168,12411,0,462,9,9866,0,4834,0,0,0,172,0,0,0,219,0,0,0,621,0,0,0,0,212,0,132,39,0,8,0,0,483,0,179,46864
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15495,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15568
1084,353,40,4,107,465,51,7890,44,8763,511,1746,1416,692,1211,3734,22115,2517,358,198,161,450,3510,2138,5468,4565,54,18,3058,1609,826,291,693,1521,94,2202,24,63,92,554,1263,12750,341,122,17,763,291,2375,1536,245,53,1850,2732,556,3100,850,1354,1109,4839,83,1515,1211,1040,390,1393,42,1087,0,3116,123597
16,0,4,0,21,50,8,108,40,129,460,0,17,15,5,52,313,1695,7,24,1,38,0,16,41,13,29,2,36,268,13,32,33,30,6,40,0,31,15,46,135,12604,63,1,41,87,3,79,1783,292,859,1079,2417,498,902,437,6943,99,2521,2,2010,410,14,205,30,517,544,0,2625,38229
0,0,0,0,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,637,19163
1812,1693,180,1,616,16,7,911,29,121,164,1,1,0,0,353,44,0,24,0,1,2,0,0,0,3,6,1,25,0,3,6,41,12,1,11,12,44,258,1460,1561,4034,2617,58,146,237,86,292,34,90,158,445,1222,162,1371,744,258,927,1064,212,2753,286,83,154,405,149,493,0,3193,27900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918,0,31044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34962
220,126,14,979,172,0,655,1419,0,609,225,0,67,0,0,108,2638,0,796,0,2277,263,25,19,88,1386,665,4494,44,0,6,203,4,3,9,5,12,3539,180,1334,8,1526,3,3034,0,1026,0,0,0,0,0,0,0,0,0,2,0,15,14,0,0,0,0,0,0,0,0,0,0,28212
19067,5470,1040,1527,470,14712,1475,4328,3140,5779,971,38,292,182,180,242,1039,48,56,3282,2203,599,440,314,1345,1836,1666,399,568,336,410,569,1141,311,133,449,341,5311,1401,7681,279,19122,124111,889,71,2706,32,5,3,12,3,0,0,2,0,20,1,197,1,599,646,160,167,72,77,67,373,0,878,240406
4151,2752,167,49,1952,2141,245,195,5,1330,154,10,171,0,161,0,1505,0,291899,0,3710,1743,534,19,2995,5514,5140,413,302,2,1265,418,177,512,26,145,389,262,321,2663,8,9106,6885,160,0,219,25,3991,0,7,0,0,0,7,0,263,77,466,1,0,868,175,0,61,70,6,529,0,1104,356361
309,304,13,10,1937,0,5,526,322,246,142,0,0,0,0,224,22,0,72712,2304,1149,897,4650,2162,0,4,2,0,108,0,7,7,39,5,2,11,8,26,142,1421,1407,2287,2645,35,94,233,49,174,23,44,101,271,429,88,492,612,223,607,642,293,1613,182,18,104,295,90,615,0,1899,103382
22522,4759,254,188,3754,1,187,2,575,1614,168,0,378,0,322,0,10871,16,0,42,101713,9335,2250,536,1208,4372,1617,2036,982,0,556,53,11,16,135,428,391,355,2260,1,0,1513,1,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,13,46,0,775,1284,0,923,0,834,178484
137338,13686,903,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,4518,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,157015
0,8,0,0,5405,1866,301,1068,0,1038,62,0,2986,453,1284,0,5493,0,0,3820,60131,34942,9810,5546,6098,0,1648,991,1227,0,289,19,39,0,1,770,0,23,458,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,14,54,0,276,151,0,0,0,344,146551
416,16,0,0,4025,0,0,3,5,23,0,75,10071,0,2527,3932,5444,82,0,0,10791,6965,2945,208,68189,5839,2,750,3017,545,8238,526,143,3946,650,5636,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,145026
74584,8209,230,0,0,0,0,0,115,1,0,0,0,0,0,0,0,0,0,0,0,22311,1439,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,21,19,0,3013,0,0,0,0,0,0,4,0,0,0,110065
1,59,0,5623,830,1474,390,2774,57,6962,322,11,346,0,192,2004,1676,488,1059,739,2858,7903,2331,2256,3199,995,1135,129,488,3,279,355,101,32,41,811,640,25,526,956,80,4191,13,0,0,113,0,0,0,0,1,1,67,39,0,19,34,0,241,1,126,541,0,2726,0,20,23,0,3393,58306
32,61,3,0,0,0,0,13,0,74,0,0,90,70,96,930,2517,1124,0,0,0,408,20,1,2843,1712,0,0,898,399,31,79,744,318,142,632,958,245,556,17011,2007,0,448,0,0,0,28,0,183,310,0,0,1,2311,0,3,1,27,1240,0,311,102,0,14,0,2,167,0,427,39162
4,69,0,0,200,377,33,147,54,340,47,0,92,72,1,74,120,1,82,5,173,366,3153,32,65,149,58,125,1246,57,20,56,31,59,3,10,0,25,139,198,439,5127,742,21,0,333,185,158,16,112,226,40,65,0,704,264,905,289,4455,2,445,353,426,217,1710,440,3184,0,1015,28541
835,7173,39,0,1048,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,8,986,0,13859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,21,202,0,0,0,4403,1260,756,30318,29264,16,2024,0,35981,94266
0,0,0,31,151,3339,197,0,0,4,0,0,57,0,722,0,0,0,0,0,0,7,0,1,3933,207,540,42,15,0,208,3068,13968,2540,1242,70,1342,0,38,69,1408,645,14795,0,1362,0,0,0,0,0,0,0,0,0,0,4,0,851,0,0,1,8,0,35,10,0,30,0,44,50940
1674,523,117,281,61,0,0,6992,574,17479,6292,0,146,150,481,759,1820,1534,238,155,4147,1523,3253,944,31315,5024,622,0,1697,2175,3870,2699,3364,5152,323,5098,1783,577,1704,34059,2761,12409,145,0,13,281,17,866,0,0,0,6,93,302,906,11,0,0,1220,0,252,340,0,1640,776,0,204,0,2232,170847
97,199,19,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9582,0,0,0,0,0,0,0,0,0,0,0,801,330,12234,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,123,26,0,8,0,0,0,0,157,24389
160,268,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1425,1550,37742,0,0,0,0,0,22,0,0,0,0,0,0,0,885,0,0,0,0,0,0,67,8,0,6,0,0,353,0,81,42554
7647,4216,105,113,24,29,23,1,457,3998,4987,0,0,0,0,0,708,0,0,0,1766,489,809,126,1145,10024,827,11,417,1,780,608,4110,240,254,1218,441,230,178,49723,460,10,0,0,0,0,417,1435,0,0,0,0,0,1447,0,3,0,0,180,0,520,214,0,414,192,1,119,0,1148,101117
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,14174,2220,0,0,0,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16638
