ncm,tipo_emitente,tipo_destinatario,cfop_receitabruta,cfop_compra,numero_indicador_mei,numero_indicador_simples,valor_produtos_servicos,tributos_nfe
00000000,PF,PF,True,False,-,-,0,0
00000000,PF,PJ,True,False,1,1,0,0
00000000,PF,PJ,True,False,2,1,0,0
00000000,PF,PJ,True,False,2,2,0,0
00000000,PJ,PF,False,True,1,1,0,0
00000000,PJ,PF,False,True,2,1,0,0
00000000,PJ,PF,False,True,2,2,0,0
00000000,PJ,PF,True,False,-,-,0,0
00000000,PJ,PJ,True,False,2,1,0,0
00000000,PJ,PJ,True,False,2,2,0,0
01012000,PF,PF,True,False,-,-,19118.22,0
01012000,PF,PJ,True,False,2,1,2372.74,0
01012100,PF,PF,True,False,-,-,7436558.68,185445.33
01012100,PF,PJ,True,False,2,1,15500,0
01012100,PF,PJ,True,False,2,2,3543676.81,12131.4
01012100,PJ,PF,False,True,2,1,99.56,0
01012100,PJ,PF,False,True,2,2,500000,0
01012100,PJ,PF,True,False,-,-,4908942,2231.94
01012100,PJ,PJ,True,False,2,1,30000,0
01012100,PJ,PJ,True,False,2,2,5325167.96,89.04
01012900,PF,PF,True,False,-,-,194922745.81,241482.51
01012900,PF,PJ,True,False,1,1,28242,89.04
01012900,PF,PJ,True,False,2,1,3273114.65,4988.29
01012900,PF,PJ,True,False,2,2,160671332.96,723977.7200000001
01012900,PJ,PF,False,True,2,1,385100,0
01012900,PJ,PF,False,True,2,2,126917.17,1444.87
01012900,PJ,PF,True,False,-,-,1506766.11,19371.27
01012900,PJ,PJ,True,False,2,1,6000,0
01012900,PJ,PJ,True,False,2,2,12207076.35,6223.52
01013000,PF,PF,True,False,-,-,2647548.09,60060.2
01013000,PF,PJ,True,False,2,1,18771,106.68
01013000,PF,PJ,True,False,2,2,354937.12,10841.82
01013000,PJ,PF,True,False,-,-,23500,0
01013000,PJ,PJ,True,False,2,2,66000,70
01019000,PF,PF,True,False,-,-,38473340.09,191225.8654
01019000,PF,PJ,True,False,2,1,174941.32,180
01019000,PF,PJ,True,False,2,2,20784963.66,341169.67
01019000,PJ,PF,True,False,-,-,3400,238
01019000,PJ,PJ,True,False,2,2,1200,0
01021010,PF,PF,True,False,-,-,11200,0
01022110,PF,PF,True,False,-,-,411461872.38,55959.77
01022110,PF,PJ,True,False,2,1,3553713.72,0
01022110,PF,PJ,True,False,2,2,628323254.11,664001.1
01022110,PJ,PF,False,True,2,2,4444683.07,0
01022110,PJ,PF,True,False,-,-,6589299.13,775
01022110,PJ,PJ,True,False,2,2,13211918.52,0
01022190,PF,PF,True,False,-,-,4688920878.3,4734401.7807
01022190,PF,PJ,True,False,1,1,49467.3,0
01022190,PF,PJ,True,False,2,1,33350632.69,30981.14
01022190,PF,PJ,True,False,2,2,6694991168.49,13549781.1666
01022190,PJ,PF,False,True,2,1,202117,0
01022190,PJ,PF,False,True,2,2,186213384.03,1726942.05
01022190,PJ,PF,True,False,-,-,42764493.72,35119
01022190,PJ,PJ,True,False,2,1,681035.07,0
01022190,PJ,PJ,True,False,2,2,422011686.7,29508.53
01022911,PF,PF,True,False,-,-,1377514397.1,988864.5499999999
01022911,PF,PJ,True,False,2,1,594502.32,27631.57
01022911,PF,PJ,True,False,2,2,2245114936.81,3027899.08
01022911,PJ,PJ,True,False,2,1,12124,0
01022911,PJ,PJ,True,False,2,2,12429020.3,0
01022919,PF,PF,True,False,-,-,2979413350.45,383708.79
01022919,PF,PJ,True,False,1,1,3742.8,0
01022919,PF,PJ,True,False,2,1,10508138.95,3699.93
01022919,PF,PJ,True,False,2,2,1206956739.29,19981146.12
01022919,PJ,PF,False,True,2,2,72260014.62,0
01022919,PJ,PF,True,False,-,-,972465,2100
01022919,PJ,PJ,True,False,2,1,269962.3,0
01022919,PJ,PJ,True,False,2,2,327698323.16,0
01022990,PF,PF,True,False,-,-,15701299071.42,9407676.8649
01022990,PF,PJ,True,False,1,1,154013.33,186
01022990,PF,PJ,True,False,2,1,62154940.42,190790.4
01022990,PF,PJ,True,False,2,2,25400709066.28,84010093.6217
01022990,PJ,PF,False,True,2,1,153987.98,0
01022990,PJ,PF,False,True,2,2,617824580.53,7852476.96
01022990,PJ,PF,True,False,-,-,4987210.04,16296
01022990,PJ,PJ,True,False,2,1,2385262.1,0
01022990,PJ,PJ,True,False,2,2,1470874099.97,69655
01023110,PF,PF,True,False,-,-,5504561.88,295938
01023110,PF,PJ,True,False,2,1,277500,3150
01023110,PF,PJ,True,False,2,2,570501.61,21064.25
01023110,PJ,PF,True,False,-,-,20000,0
01023190,PF,PF,True,False,-,-,20734442.43,7394.4
01023190,PF,PJ,True,False,2,1,2345400.45,0
01023190,PF,PJ,True,False,2,2,13537481.27,23395.71
01023190,PJ,PF,False,True,2,2,1539477.89,7145.68
01023190,PJ,PJ,True,False,2,2,1724969,0
01023911,PF,PF,True,False,-,-,897796.49,0
01023911,PF,PJ,True,False,2,2,1923000,0
01023911,PJ,PJ,True,False,2,2,28681.96,0
01023919,PF,PF,True,False,-,-,5291408.54,0
01023919,PF,PJ,True,False,2,1,6000,0
01023919,PF,PJ,True,False,2,2,114952810.22,5065.690000000001
01023919,PJ,PJ,True,False,2,2,727234.3300000001,0
01023990,PF,PF,True,False,-,-,40418759.78,175209.73
01023990,PF,PJ,True,False,1,1,27053.31,0
01023990,PF,PJ,True,False,2,1,1186403.74,0
01023990,PF,PJ,True,False,2,2,188261197.23,549174.06
01023990,PJ,PF,False,True,2,2,343699.23,0
01023990,PJ,PJ,True,False,2,2,1870452,0
01029000,PF,PF,True,False,-,-,16380076177.49,4408717.8684
01029000,PF,PJ,True,False,1,1,113093.38,0
01029000,PF,PJ,True,False,2,1,75195791.62,15090.11
01029000,PF,PJ,True,False,2,2,9667462814.53,90887364.53559999
01029000,PJ,PF,False,True,1,1,9190,0
01029000,PJ,PF,False,True,2,1,99172,1657.5
01029000,PJ,PF,False,True,2,2,1153128395.41,8598081.75
01029000,PJ,PF,True,False,-,-,17156002.99,0
01029000,PJ,PJ,True,False,2,1,2146023.77,0
01029000,PJ,PJ,True,False,2,2,1618829982.18,1922547.19
01029019,PF,PF,True,False,-,-,304900,0
01029019,PF,PJ,True,False,2,2,54521.42,10359.06
01029090,PF,PF,True,False,-,-,99007519.11,0
01029090,PF,PJ,True,False,2,1,21454.38,0
01029090,PF,PJ,True,False,2,2,90706477.81,2509311.48
01031000,PF,PF,True,False,-,-,47205369.72,17801.04
01031000,PF,PJ,True,False,1,1,21303.32,0
01031000,PF,PJ,True,False,2,1,6395381.18,18994.2
01031000,PF,PJ,True,False,2,2,190602828.09,1594241.76
01031000,PJ,PF,False,True,2,2,1965536.350000001,181812.12
01031000,PJ,PF,True,False,-,-,739470.86,0
01031000,PJ,PJ,True,False,2,1,43065.69,0
01031000,PJ,PJ,True,False,2,2,1685178.29,0
01039100,PF,PF,True,False,-,-,88434748.87,157098.84
01039100,PF,PJ,True,False,1,1,44439.8,0
01039100,PF,PJ,True,False,2,1,6096909.019999999,69292.22999999998
01039100,PF,PJ,True,False,2,2,415307328.87,3617042.66
01039100,PJ,PF,False,True,2,1,180416.98,0
01039100,PJ,PF,False,True,2,2,180165595.99,5880665.48
01039100,PJ,PJ,True,False,2,2,53729949.29000001,6402.46
