ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,1.2,Eletroencefalógrafos,INC,9018.19.80
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,1.3,"Aparelhos de eletrodiagnóstico, exceto os produtos classificados nos códigos 9018.11.00, 9018.12.10, 9018.12.90, 9018.13.00, 9018.14.10, 9018.14.20, 9018.14.90, 9018.19.10 e 9018.19.20",INC,9018.19.80
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,1,Bolsa para drenagem,INC,3926.90.30
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,2,Sistema para drenagem com conjunto intermediário para medição contínua da diurese,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,3,"Chapas e filmes para raios-X, sensibilizados em uma face",INC,3701.10.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,4,Cimentos para reconstituição óssea,INC,3006.40.20
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,5,Substitutos de enxerto ósseo,INC,3004.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,6,Coletor para unidade de drenagem externa,INC,3926.90.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,7,Conector completo com tampa,INC,3917.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,8,Conector em Y,INC,3917.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,9,Conjuntos de troca e concentrados polieletrolíticos para diálise,INC,3004.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,10,Conjunto para autotransfusão,INC,9018.90.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,11,Conjunto para hidrocefalia de baixo perfil,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,12,Conjunto para hidrocefalia standard,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,12,Conjunto para hidrocefalia standard,INC,9021.90.80
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,13,Eletrodo endocárdico definitivo,INC,9021.90.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,14,Eletrodo epicárdico definitivo,INC,9021.90.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,15,Eletrodo para marcapasso temporário endocárdico,INC,9021.90.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,16,Eletrodo para marcapasso temporário epicárdico,INC,9021.90.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,17,Espaçador de tendão,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,18,Filmes especiais para raios-X sensibilizados em ambas as faces,INC,3702.10.20
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,19,Filmes especiais para raios-X sensibilizados em uma face,INC,3702.10.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,20,Filtro de linha arterial e venoso,INC,8421.29.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,21,Filtro de sangue arterial e venoso para recirculação,INC,8421.29.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,22,Filtro para cardioplegia,INC,8421.29.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,23,"Categutes esterilizados, materiais esterilizados semelhantes para suturas cirúrgicas (incluídos os fios absorvíveis esterilizados para cirurgia ou odontologia) e adesivos esterilizados para tecidos orgânicos, utilizados em cirurgia para fechar ferimentos; laminárias esterilizadas; hemostáticos absorvíveis esterilizados para cirurgia ou odontologia; barreiras antiaderentes esterilizadas para cirurgia ou odontologia, absorvíveis ou não",INC,3006.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,24,Hemoconcentrador para circulação extracorpórea,INC,9018.90.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,25,Hemodialisador capilar,INC,8421.29.11
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,26,Marcapasso cardíaco câmara dupla,INC,9021.50.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,27,Marcapasso cardíaco multiprogramável com telemetria,INC,9021.50.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,28,Outras chapas e filmes para raios-X,INC,3701.10.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,29,Oxigenador de bolha com tubos para circulação extracorpórea,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,30,Oxigenador de membrana com tubos para circulação extracorpórea,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,31,Reservatório de cardiotomia,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,32,Reservatório para cardioplegia com tubo sem filtro,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,33,Rins artificiais,INC,9018.90.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,34,Shunt lombo-peritonal,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,35,Substituto temporário de pele (biológica/sintética) (por cm2),INC,3005.90.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,36,Tela inorgânica,INC,3006.10.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,37,Válvula para hidrocefalia,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,37,Válvula para hidrocefalia,INC,9021.90.89
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,38,Válvula para tratamento de ascite,INC,9021.90.19
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,39,Fonte de irídio 192,INC,2844.43.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,40,Stent vascular,INC,9021.90.12
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,41,Reprocessador de filtros utilizados em hemodiálise,INC,8479.89.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,42,"Implantes osseointegráveis, na forma de parafuso, e seus componentes manufaturados, tais como tampas de proteção, montadores, conjuntos, pilares (cicatrizador, conector, de transferência ou temporário), cilindros, seus acessórios, destinados a sustentar, amparar, acoplar ou fixar próteses dentárias",INC,9021.10.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,42,"Implantes osseointegráveis, na forma de parafuso, e seus componentes manufaturados, tais como tampas de proteção, montadores, conjuntos, pilares (cicatrizador, conector, de transferência ou temporário), cilindros, seus acessórios, destinados a sustentar, amparar, acoplar ou fixar próteses dentárias",INC,9021.10.20
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,42,"Implantes osseointegráveis, na forma de parafuso, e seus componentes manufaturados, tais como tampas de proteção, montadores, conjuntos, pilares (cicatrizador, conector, de transferência ou temporário), cilindros, seus acessórios, destinados a sustentar, amparar, acoplar ou fixar próteses dentárias",INC,9021.29.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,43,Cardiodesfibrilador implantável,INC,9021.90.11
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,44,Espiral para embolização,INC,9021.90.12
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,45,Imunoglobulina anti-Rh,INC,3002.12.21
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,46,Outras imunoglobulinas séricas,INC,3002.12.22
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,47,Concentrado de fator VIII,INC,3002.12.23
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,48,"Outras frações do sangue, exceto as preparadas como medicamentos, as imunoglobulinas séricas, o concentrado de fator VIII e a soroalbumina sob a forma de gel para preparação de reagentes de diagnóstico",INC,3002.12.21
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,48,"Outras frações do sangue, exceto as preparadas como medicamentos, as imunoglobulinas séricas, o concentrado de fator VIII e a soroalbumina sob a forma de gel para preparação de reagentes de diagnóstico",INC,3002.12.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,49,"Reagentes de diagnóstico ou de laboratório em qualquer suporte e reagentes de diagnóstico ou de laboratório preparados, mesmo em um suporte, mesmo apresentados sob a forma de estojos, exceto os da posição 30.06; materiais de referência certificados",INC,3822.1
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,50,"Reagentes de diagnóstico concebidos para serem administrados ao paciente, à base de somatoliberina",INC,3006.30.21
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,51,"Produtos para obturação dentária, exceto cimentos",INC,3006.40.12
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,52,"Preparações em gel, concebidas para uso em medicina humana ou veterinária como lubrificante para certas partes do corpo em intervenções cirúrgicas ou exames médicos ou como agente de ligação entre o corpo e os instrumentos médicos",INC,3006.70.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,53,"Bolsas para uso em colostomia, ileostomia e urostomia",INC,3006.91.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,54,"Equipamentos identificáveis para ostomia, exceto bolsas para uso em colostomia, ileostomia e urostomia",INC,3006.91.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,55,Bolsas para uso em medicina (hemodiálise e usos semelhantes),INC,3926.90.30
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,56,Artigos exclusivamente de laboratório de análises clínicas,INC,3926.90.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,57,"Acessórios de plástico do tipo utilizado em linhas de sangue para hemodiálise, tais como: obturadores, incluídos os reguláveis (clamps), clipes e similares",INC,3926.90.50
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,58,Luvas cirúrgicas e luvas de procedimento,INC,4015.1
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,59,"Seringas, mesmo com agulhas",INC,9018.31
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,60,Agulhas tubulares de metal e agulhas para suturas,INC,9018.32
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,61,"Agulhas, exceto as de metal e as para suturas",INC,9018.39.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,62,"Sondas, cateteres e cânulas, individualmente ou em conjunto",INC,9018.39.2
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,63,Lancetas para vacinação e cautérios,INC,9018.39.30
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,64,"Instrumentos semelhantes a seringas, a agulhas, a cateteres e a cânulas",INC,9018.39.9
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,65,Brocas para odontologia,INC,9018.49.1
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,66,Limas,INC,9018.49.20
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,67,"Grampos e clipes, seus aplicadores e extratores",INC,9018.90.95
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,68,"Outros instrumentos e aparelhos para medicina, cirurgia e odontologia, excluídas seringas e agulhas, das posições 9018.31 e 9018.32",INC,9018.39.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,68,"Outros instrumentos e aparelhos para medicina, cirurgia e odontologia, excluídas seringas e agulhas, das posições 9018.31 e 9018.32",INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,69,"Mesas de operação e para exames, camas hospitalares e de uso clínico",INC,9402.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,70,Fotocoagulador a laser,INC,9018.20.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,71,Bisturi elétrico,INC,9018.90.21
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,72,Aparelho de anestesia com monitor multiparâmetros,INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,73,Autoclave,INC,8419.81.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,74,Retinógrafo,INC,9018.50.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,75,Meios de cultura,INC,3821.00.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,76,Termocicladores utilizados em diagnóstico e na pesquisa científica,INC,8419.89.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,77,Partes e peças de termocicladores,INC,8419.90.40
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,78,Pipetadores laboratoriais para diagnóstico e pesquisa científica,INC,8479.89.12
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,79,Cromatógrafo de fase líquida,INC,9027.20.12
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,80,Sequenciadores automáticos de ADN mediante eletroforese capilar,INC,9027.20.21
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,81,Aparelhos de eletroforese para diagnóstico e pesquisa científica,INC,9027.20.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,82,Analisadores por espectrofotometria para diagnóstico e pesquisa científica,INC,9027.30
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,83,Analisadores por fotometria para diagnóstico e pesquisa científica,INC,9027.50.20
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,84,Citômetro de fluxo,INC,9027.50.50
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,85,Analisadores por radiações ópticas para diagnóstico e pesquisa científica,INC,9027.50.90
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,86,Outros analisadores para diagnóstico e pesquisa científica,INC,9027.89.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,87,Espectrômetro de massa,INC,9027.81.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,88,Outros analisadores para diagnóstico,INC,9027.89.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,89,Micrótomo,INC,9027.90.10
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,90,Partes e peças de equipamentos analisadores laboratoriais,INC,9027.90.9
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,91,Preservativo,INC,4014.10.00
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,92,Dispositivo intrauterino (DIU),INC,9018.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,93,Substância para conservação de órgãos e tecidos,INC,3824.99.89
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,94,Introdutor de punção para implante de eletrodo endocárdico,INC,9021.90.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,95,Enxerto tubular de politetrafluoretileno - PTFE (por cm2),INC,9021.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,96,Enxerto arterial e venoso tubular inorgânico,INC,9021.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,97,Botão para crânio,INC,9021.90.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,98,Guia metálico para introdução de cateter duplo lumen,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,99,Dilatador para implante de cateter duplo lumen,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,100,Guia de troca para angioplastia,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,101,Introdutor para cateter com e sem válvula,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,102,Kit cânula,INC,9018.39.91
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,102,Kit cânula,INC,9018.39.99
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,103,Dreno para sucção,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,104,Sistema de drenagem mediastinal,INC,9018.39.29
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,GERAL,Redução a 0 %,105,Conjunto descartável de balão intra-aórtico,INC,9018.90.99
Alíquota 0% - Medicamentos - art 146,GERAL,Alíquota 0%,1,"Medicamentos registrados na Anvisa, desde que destinados, de acordo com o registro sanitário, a: doenças raras; doenças negligenciadas; oncologia; diabetes; HIV/aids e outras infecções sexualmente transmissíveis (IST); doenças cardiovasculares e Programa Farmácia Popular do Brasil ou equivalente ou adquiridos por órgãos da administração pública direta, por autarquias e por fundações públicas; adquiridos por entidades de saúde imunes ao IBS e à CBS que possuam Cebas por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021; ou      (Redação dada pela Lei Complementar nº 227, de 2026); classificados como soros ou vacinas, conforme regulamentação sanitária específica. ",INC,30
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,1,Ovos,INC,0407.2
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.01
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.03
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.04
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.05
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.06
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.08
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.09
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,07.10
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,0702.00.00
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,INC,0707.00.00
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,EXC,0709.5
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,2,Produtos hortícolas,EXC,0710.80.00
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.03
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.04
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.05
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.06
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.07
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.08
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.09
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.10
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,3,Frutas frescas ou refrigeradas e frutas congeladas sem adição de açúcar ou de outros edulcorantes,INC,08.11
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,4,"Plantas e produtos de floricultura relativos à horticultura e cultivados para fins alimentares, ornamentais ou medicinais",INC,06
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,5,Raízes e tubérculos,INC,07.14
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,GERAL,Redução de 100%,6,Cocos,INC,0801.1
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",GERAL,Alíquota 0%,I,Máquinas e implementos agrícolas,INC,84.32
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",GERAL,Alíquota 0%,I,Tratores,INC,87.01
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",GERAL,Alíquota 0%,II,Veículos de transporte de carga,INC,87.04
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",GERAL,Alíquota 0%,II,Veículos de transporte de carga,INC,87.05
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0306.1
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,EXC,0306.11
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,EXC,0306.15.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0306.3
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,EXC,0306.31.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,EXC,0306.34.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,EXC,0306.39.10
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0307.31.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0307.32.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0307.42.00
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art. 135,GERAL,Redução de 60%,1,Crustáceos e moluscos,INC,0307.43
