ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,16,"Pão comumente denominado pão francês, de formato cilíndrico e alongado, com miolo branco creme e macio, e casca dourada e crocante, elaborado a partir da mistura ou pré-mistura de farinha de trigo, fermento biológico, água, sal, açúcar, aditivos alimentares e produtos de fortificação de farinhas, em conformidade com a legislação vigente",INC,1905.90.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,17,Grãos de aveia,INC,1104.12.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,17,Grãos de aveia,INC,1104.22.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,18,Farinha de aveia,INC,1102.90.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,02.01
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,02.02
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,02.03
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,02.04
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,02.07
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.10.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.2
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.30.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.4
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.80.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0206.90.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",EXC,0207.43.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",EXC,0207.53.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0209.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0209.90.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0210.1
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0210.20.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0210.99.1
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0210.99.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,19,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",INC,0210.99.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,INC,03.02
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,INC,03.03
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,INC,03.04
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.1
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.3
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.51.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.52.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.53.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0302.9
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.1
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.4
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.63.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.64.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.65.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0303.9
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0304.4
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0304.5
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0304.7
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0304.8
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,20,Peixes e carnes de peixes,EXC,0304.9
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.10.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.10.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.20.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.90.10
