exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica,consumo_final_proxy_debitos_cbs,ajuste_variacao_de_estoques
12672,0,0,5550,0,5318,23540,124657,101117,1148,111985,0.010251372951734608,0.0970487118810555,
27640,0,0,0,0,-534,27106,43744,16638,0,16104,0,-0.03315946348733234,
53540,0,0,275,511,8609,62935,339710,276775,333,286170,0.0011636439878393962,0.032830135933186566,
61216,0,0,797,0,276,62289,170586,108297,33,109370,0.00030172807899789706,0.009810734204992228,
238,0,0,0,0,379,617,13215,12598,0,12977,0,0.029205517453957,
11330,0,0,22901,18691,6581,59503,276739,217236,2624,265409,0.009886627808401372,0.18150477188038083,
727,0,0,0,697,2021,3445,76172,72727,133,75445,0.0017628736165418517,0.03602624428391543,
661,0,0,38445,25395,1869,66370,100026,33656,3082,99365,0.031016957681276103,0.6612891863332159,
2062,0,0,86295,48687,2393,139437,173082,33645,23,171020,0.00013448719448017776,0.8032686235528008,
2447,0,0,5209,26682,1191,35529,54089,18560,1659,51642,0.03212501452306262,0.6406026102784556,
14547,0,0,4898,47460,11054,77959,202102,124143,385,187555,0.002052731198848338,0.3380981578736904,
1427,0,0,60230,4212,5219,71088,75991,4903,0,74564,0,0.9342444074888686,
5552,0,0,451,76064,0,82067,94718,12651,0,89166,0,0.8581185653724513,
16484,0,0,0,36120,0,52604,66132,13528,0,49648,0,0.7275217531421205,
23358,0,0,11059,129625,3066,167108,302256,135148,682,278898,0.0024453384391426255,0.5154214085436253,
22115,0,0,175800,72600,145,270660,273455,2795,41,251340,0.00016312564653457468,0.9888796053155089,
16110,0,0,4027,84570,-298,104409,116099,11690,0,99989,0,0.8830871395853543,
23221,0,0,0,0,-538,22683,247553,224870,3225,224332,0.01437601412192643,-0.0023982311930531536,
21944,0,0,24974,87705,16277,150900,182120,31220,385,160176,0.0024036060333633004,0.805089401658176,
5555,0,0,83676,18581,2500,110312,117045,6733,572,111490,0.005130504978024935,0.9396089335366401,
4792,0,0,62066,9194,-471,75581,141769,66188,13673,136977,0.09981967775611963,0.5167947903662659,
3676,0,0,694,20093,0,24463,135360,110897,4006,131684,0.03042131162479876,0.15785516843352268,
115,0,0,167000,0,0,167115,545725,378610,12033,545610,0.022054214548853576,0.3060794340279687,
3,0,0,48830,0,54,48887,120930,72043,17580,120927,0.14537696296112532,0.4042438826730176,
326,0,0,0,372106,0,372432,423909,51477,42918.584559401825,423583,0.10132272673691302,0.8784724599429156,
0,0,0,0,155452,0,155452,188300,32848,27316.678233965948,188300,0.14506998531049362,0.825554965480616,
3568,0,0,0,140581,0,144149,190618,46469,18667.334487875145,187050,0.09979863399024402,0.7515690991713445,0.24843090082865543
475,0,0,69820,0,0,70295,104925,34630,3847,104450,0.036831019626615606,0.6684538056486357,
4516,0,0,0,0,0,4516,64373,59857,0,59857,0,0,
544,0,0,2500,0,0,3044,304566,301522,1461,304022,0.004805573280880989,0.00822308911855063,
261,0,0,78609,0,0,78870,98861,19991,4852,98600,0.04920892494929006,0.7972515212981744,
11493,0,0,1322,0,0,12815,47169,34354,0,35676,0,0.03705572373584483,
9120,0,0,6167,0,0,15287,41533,26246,1809,32413,0.055810940054916235,0.1902631660136365,
17529,0,0,37287,0,0,54816,177494,122678,2345,159965,0.014659456756165411,0.23309473947426,
2072,0,0,3121,0,0,5193,33760,28567,3108,31688,0.09808129260287807,0.09849154253976268,
5097,0,0,6863,0,0,11960,44768,32808,3439,39671,0.08668800887298027,0.1729979077915858,
3208,0,0,269233,0,0,272441,327365,54924,21680,324157,0.06688117177787306,0.8305635849295249,
1062,0,0,13731,0,-855,13938,32173,18235,6496,31111,0.20880074571694898,0.41387290668895244,
2041,0,0,1256,0,0,3297,48729,45432,0,46688,0,0.026901987662782727,
2850,0,0,142541,0,0,145391,231911,86520,7339,229061,0.032039500395091264,0.6222840204137763,
14988,0,0,5578,139014,15,159595,313090,153495,26929,298102,0.09033485182923966,0.4850923509402822,
10944,1785,0,396491,0,0,409220,860098,450878,73543,849154,0.0866073762827473,0.469026819634601,
5282,0,0,132615,0,0,137897,297914,160017,4690,292632,0.016026955356898766,0.4531801033379808,
0,0,0,547406,0,0,547406,547406,0,0,547406,0,1,
22883,0,0,23056,0,0,45939,320554,274615,6626,297671,0.022259474386151154,0.07745463951812571,
0,0,0,0,48333,0,48333,52019,3686,0,52019,0,0.9291412753032546,
28042,0,0,1072,4781,0,33895,105862,71967,12426,77820,0.15967617579028529,0.07521202775636084,
7028,0,0,3165,0,0,10193,189327,179134,8377,182299,0.045951979988919305,0.01736158728243161,
8979,0,0,5884,0,0,14863,147943,133080,10865,138964,0.07818571716415762,0.04234190149966898,
3470,0,39053,3184,0,0,45707,132576,86869,18305,129106,0.14178272117484858,0.327149783898502,
6054,0,0,9195,0,0,15249,210397,195148,40691,204343,0.19913087309083258,0.04499787122632045,
0,0,0,539,0,0,539,48457,47918,14604,48457,0.3013806054852756,0.01112326392471676,
0,921631,0,0,0,0,921631,921631,0,0,921631,0,1,
0,11542,0,0,0,0,11542,11542,0,0,11542,0,1,
0,388877,0,0,0,0,388877,388877,0,0,388877,0,1,
36,0,0,136452,0,0,136488,158307,21819,1801,158271,0.011379216660032476,0.8621415167655477,
0,273993,0,0,0,0,273993,273993,0,0,273993,0,1,
572,61105,10067,274870,0,0,346614,395274,48660,61192,394702,0.15503341761632827,0.8767171182309692,
2729,0,13015,35620,0,0,51364,57203,5839,1100,54474,0.02019311965341264,0.8928112494033851,
0,0,52913,35709,0,0,88622,97965,9343,0,97965,0,0.9046292043076609,
0,0,0,11880,0,0,11880,35422,23542,1640,35422,0.046298910281745806,0.33538478911410985,
0,0,0,56374,0,0,56374,62144,5770,1757,62144,0.02827304325437693,0.9071511328527292,
0,0,0,61371,0,0,61371,61371,0,0,61371,0,1,
,,,,,,,,0,0,0,,,
1722169,1671535,115048,5415523,1614782,144558,10683615,19551489,8867874,581430.597281243,17829320,0.03261092387602236,0.5026241045648404,
,,,,668139,,,,,,,,,
,,,,0.09362811822276938,,,,,,,,,
