base,valor
Receita Bruta DIRPF,547304753188.28
Tributos NFE,2403463369.2642
NFE - Exportação,36930146731.95
Base Débito (Receita DIRPF - Tributos NFE - NFE Exportação),507971143087.0658
NFE - Mercado Interno,338150351843.63
NFE - Percentual Vendas PJ (Mercado Interno),0.8522241137598823
Fator Base Débito/NFE (Mercado Interno),1.502204981652557
