ncm,valor_produtos_servicos,tributos_nfe
00000000,0,0
00000001,0,0
00000002,0,0
00000003,0,0
00000004,0,0
00000005,0,0
00000006,0,0
00000007,0,0
00000008,0,0
00000009,0,0
00000010,0,0
00000018,0,0
00000019,0,0
00000020,0,0
00000021,0,0
00000022,0,0
00000035,0,0
00000038,0,0
00000039,0,0
00000044,0,0
00000048,0,0
00000060,0,0
00000068,0,0
00000069,0,0
00000070,0,0
00000072,0,0
00000073,0,0
00000075,0,0
00000084,0,0
00000085,0,0
00000087,0,0
00000090,0,0
00000096,0,0
00000098,0,0
00000099,0,0
00000100,0,0
00000102,0,0
00000226,0,0
00000704,0,0
00000705,0,0
00000706,0,0
00000732,0,0
00000736,0,0
00001199,0,0
00001404,0,0
00001507,0,0
00001902,0,0
00003050,0,0
00003141,0,0
00004516,0,0
00004604,0,0
00006206,0,0
00006908,0,0
00008000,0,0
00008311,0,0
00008403,0,0
00008923,0,0
00009088,0,0
00009876,0,0
00009879,0,0
00010021,0,0
00012321,0,0
00012345,0,0
00012802,0,0
00014424,0,0
00020013,0,0
00020304,0,0
00022255,0,0
00023336,0,0
00024941,0,0
00025283,0,0
00025524,0,0
00030121,0,0
00061044,0,0
00062044,0,0
00071320,0,0
00080620,0,0
00085017,0,0
00095750,0,0
00097507,0,0
00099991,0,0
00101112,0,0
00110814,0,0
00120201,0,0
00123456,0,0
00125474,0,0
00133402,0,0
00155366,0,0
00160413,0,0
00190190,0,0
00199900,0,0
00209001,0,0
00210201,0,0
00220210,0,0
00220600,0,0
00229000,0,0
00250100,0,0
00255887,0,0
00264211,0,0
00300450,0,0
00312700,0,0
00320820,0,0
00321490,0,0
00324900,0,0
00350610,0,0
00350691,0,0
00360439,0,0
00380891,0,0
00381400,0,0
00382440,0,0
00392410,0,0
00401502,0,0
00423100,0,0
00600411,0,0
00600413,0,0
00610000,0,0
00618781,0,0
00620342,0,0
00620590,0,0
00621600,0,0
00630790,0,0
00643896,0,0
00660191,0,0
00680520,0,0
00680530,0,0
00703101,0,0
00713331,0,0
00730840,0,0
00731815,0,0
00731816,0,0
00732399,0,0
00805896,0,0
00809855,0,0
00820750,0,0
00830710,0,0
00840999,0,0
00841934,0,0
00846593,0,0
00848180,0,0
00848210,0,0
00848340,0,0
00851310,0,0
00853990,0,0
00870200,0,0
00870321,0,0
00870830,0,0
00870899,0,0
00888008,0,0
01000000,0,0
01000158,0,0
01002281,0,0
01002900,0,0
01005000,0,0
01007875,0,0
01010101,0,0
01011010,1951154.9,11069.87
01011090,1420160.79,12440.96
01011100,3425.7,32.46
01011900,11309.39,735.6300000000001
01012000,1832,0
01012010,0,0
01012011,0,0
01012020,0,0
01012021,0,0
01012100,26417118.9,12930436.79
01012900,182340177.34,803378.9400000002
01013000,3657931.17,80899.38999999998
01019000,22951502.67,692699.57
01019010,60,0
01019090,64478.25,36.25
01019900,0,0
01020090,0,0
01020300,0,0
01021010,304269.19,0
01021090,320.49,0
01022110,342710415.49,554355.06
01022190,6811685984.11,17539630.6358
01022911,1326831595.84,2923067.05
01022919,4648616416.200003,9755418.450000003
01022990,19873976173.41999,31642691.43600001
01023110,1950363.22,5462.949999999999
01023190,49733049.42,54668.8
01023911,2455609.43,98.94
01023919,18713444.99,21397.71
01023990,33926711.05,41907.24
01029000,19559681573.51999,20044038.454
01029019,24471.16,0
01029090,123259548.7,1168636.42
01031000,91760297.65,5556251.670000001
01039100,125142472.1,1625974.28
01039200,151513973.44,2135691.74
01041003,0,0
01041011,2211019.87,2772.32
01041019,8120923.570000002,3130.21
01041090,9516649.15,19399.43
01042010,7798571.69,138592.63
01042090,3367654.81,7728.09
01050099,0,0
01051110,433362495.05,12813879.76
01051190,435745600.65,4326093.771000001
01051200,64456.34,1493.7
01051300,56638.84,41.89
01051400,25352.64,127.03
01051500,38960.06,197.46
01051900,6343.22,0
01054070,0,0
01059400,70468470.97,880330.6699999999
01059900,136393387.76,951231.7399999999
01060508,0,0
01061000,0,0
01061100,485794.83,3472.67
01061200,211942.55,983.7600000000001
01061300,84120.9,1844.6
01061400,5613,10.95
01061900,8259399.15,1738.79
01062000,16523.2,0
01063000,0,0
01063100,1600586.83,264.47
01063200,38007.6,4781.68
01063310,14143.42,11.49
01063390,3806106.11,154755.73
01063900,24485548.51,80874.26
01064100,13978.4,16.1
01064900,2590778.49,17021.95
01068045,0,0
01069000,50299935.59,37920.85
01069010,0,0
01071200,0,0
01071400,0,0
01075000,0,0
01100034,0,0
01131000,0,0
01201049,0,0
01253610,0,0
01254554,0,0
01352962,0,0
01403100,0,0
01482556,0,0
01511900,0,0
01693005,0,0
01703200,0,0
01842055,0,0
01901200,0,0
02010210,0,0
02010990,0,0
02011000,10897443.34,192297.03
02011300,0,0
02011900,0,0
02012010,10593025.61,144881.45
02012020,7750014.970000001,203642.46
02012090,62690397.19,165675.07
02012092,0,0
02012093,0,0
02012096,0,0
02012100,0,0
02013000,61306645.96,1410222.36
02020000,0,0
02021000,921785.39,6687.45
02022010,2474890.21,34530.03999999999
02022020,602723.27,18822.98
02022090,4286777.21,69817
02023000,19732921.77,686842.1200000001
02030605,0,0
02031000,0,0
02031100,6944408.23,70716.16
02031200,2366504.06,24153.37
02031900,6545064.270000001,113059.31
02031999,0,0
02032100,682492.3699999999,13970.45
02032200,955104.5800000002,36228.92000000001
02032900,10741990.77,226377.18
02041000,32540.09,1095.82
02042100,26528.62,1092.22
02042200,143401.68,3859.12
02042300,18071.48,224.2
02043000,18055.08,1169.74
02044100,3298.4,0
02044200,173671.59,3624.01
02044300,197543.8300000001,5919.030000000001
02045000,89160.57,3017.5
02050000,1541803.45,16405.71
02059000,0,0
02061000,3653887.96,3191.66
02062100,33646.52,1253.76
02062200,2351841.2,4489.33
02062910,834536.7699999999,12918.87
02062990,1037954.14,18138.18
02063000,916286.9700000001,11604.37
02064100,78342.57,2.77
02064900,307831.9,7298.820000000002
02068000,70845.77000000002,211.99
02069000,554.21,22.57
02069090,0,0
02070000,0,0
02070020,0,0
02071100,2760795.03,36686.8
02071200,2848923.849999999,67419.01000000001
02071210,3285450.279999999,91468.45999999999
02071220,723417.18,9427.189999999999
02071300,3754758.429999999,42680.49000000001
02071400,36545763.23000002,616845.13
02072400,49743.88,337.17
02072500,227495.7399999999,7368.610000000001
02072600,9016.71,0
02072700,233667.64,1391.16
02074100,4384.73,12.03
02074200,36106.81,263.07
02074300,18616.35,130.51
02074400,4082.25,1.83
02074500,33246.41,541.32
02075200,42773.39999999999,47.19
02075400,9406.34,0
02075500,295151.54,0
02076000,9310.47,170.37
02081000,714.5799999999999,39.72
02083000,344.14,0
02084000,788.15,0
02085000,1622.58,77.21000000000001
02086000,1070.09,37.24
02089000,40515.25,373.4399999999999
02091011,108623.87,3912.13
02091019,26360.42,18.77
02091021,180760.32,13197.12
02091029,1324318.63,52491.94999999999
02099000,8445.27,186.65
02101000,0,0
02101100,280301.06,6090.2
02101200,4060032.24,124508.19
02101900,4324851.81,108427.22
02102000,31601753.49,296597.0200000001
02109100,7874.309999999999,841.64
02109200,241.95,7.98
02109300,86.6,8.879999999999999
02109900,11008.73,0
