ncm,valor_produtos_servicos,tributos_nfe
02071421,333668.98,13470.85
02071422,1302167.11,40610.08
02071423,420096.0400000001,11149.37
02071424,6857.73,139.73
02071429,194213.56,1214.68
02071431,41863.47000000001,158.52
02071432,25580.09999999999,614.95
02071433,111017.16,2176.82
02071434,2424.85,113
02071439,742422.84,1201.2
02072400,251711.94,15726.89
02072500,278009.46,4767.759999999999
02072600,55851.09,65.67999999999999
02072700,177988.59,1403.63
02074100,9735.42,0
02074200,31537.91,561.8399999999999
02074300,7020.179999999999,0
02074400,5842.91,80.97
02074500,66163.41,3277.8
02075100,2967,70.37
02075200,8145.370000000001,275.27
02075300,163.79,0
02075400,13216.98,15.97
02075500,3754.95,328.93
02076000,12070.01,208.13
02081000,93302.73,176.24
02081983,0,0
02083000,874.91,0
02083200,0,0
02084000,1438.13,15.86
02085000,2548.280000000001,249.68
02086000,1262.24,247.52
02089000,125800.94,950.1199999999999
02090011,1948.59,233.83
02090090,109285.74,3277.26
02091000,0,0
02091011,129001.86,4186.13
02091019,891229.33,219.63
02091021,125085.18,1000.27
02091029,1232514.6,39848.37
02099000,563802.84,334.73
02101000,0,0
02101100,304944.14,5564.41
02101200,4384139.959999999,130664.37
02101900,3471344.519999999,108442.2
02102000,50075249.47000001,340098.289
02102021,0,0
02109000,996.11,0
02109100,7282.049999999999,560.02
02109200,7043.57,0
02109300,469.64,0
02109900,4033.23,0
02109911,42261.49000000001,850.1899999999999
02109919,474281.84,5974.910000000001
02109920,1166.39,100.01
02109930,8256.119999999999,9.87
02109940,5830.83,41.52
02109990,219581.82,130.51
02122000,0,0
02154860,0,0
02165444,0,0
02201100,0,0
02203000,0,0
02309909,0,0
02365986,0,0
02369875,0,0
02379526,0,0
02540101,0,0
02585268,0,0
02710193,0,0
02789000,0,0
03000662,0,0
03002121,0,0
03004395,0,0
03011000,19751.11,455.23
03011090,182.04,24.84
03011110,6095.63,0
03011190,2717901.45,25981.96
03011900,54182.44,1846.91
03019110,1001162.66,0
03019190,73833.25,2629.67
03019210,27,31.59
03019290,4622.48,19.06
03019310,363709.94,0
03019390,25276.02,0
03019410,63800,0
03019490,8095.65,0
03019510,925040.62,0
03019590,3713,0
03019910,1550,0
03019911,17418130.24,1151076.29
03019912,454769,0
03019919,121357.68,4258.46
03019990,939566.5300000001,1479
03019991,11270728.02,1037075.43
03019992,25702.5,61.57
03019999,8036634.87,92652.16
03021100,278323.28,8360.78
03021300,33785.63,2344.38
03021400,60021.57,6201.6
03021900,498089.44,17763.79
03022100,330.3,12.69
03022200,60,0
03022300,822.1600000000001,11
03022400,85.68,0
03022900,678302.3999999999,2754.67
03023200,211.68,0
03023300,4209.77,120.14
03023400,1430.28,13.74
03023500,115.76,0
03023600,515219.18,49.3
03023900,80142.09000000001,9299.679999999998
03024000,1420.5,0
03024100,49.8,3.82
03024210,7857.86,151.99
03024290,28651.73,38.99
03024300,18658.67,234.43
03024400,116878.9,3188.68
03024500,5.95,0
03024700,28047,3360
03024910,454889.3199999999,7444.2
03024990,1155976.6,49173.97
03025100,3666.76,90.24
03025200,635.81,45.2
03025300,3695.48,10.04
03025400,405.65,28.88
03025500,853.07,0
03025600,2467.08,40.65
03025900,33153.6,5359.84
03026935,2600,312
03026942,860419.8299999998,621.6
03026954,942.1199999999999,113.06
03026955,86.5,0
03026990,232806.57,216.16
03027100,7355216.850000001,209125.88
03027210,623,11.71
03027290,5097.51,122.97
03027300,4741.950000000001,8.25
03027400,432.6,49.29
03027900,163737.21,5140.25
03028100,16434.02,19.47
03028320,45.47,0
03028400,785.44,0
03028910,110.96,7.4
03028921,130,0
03028922,3.15,0.8300000000000001
