ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039100,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01039200,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039200,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041011,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041011,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041019,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041019,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041090,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041090,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042010,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042010,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042090,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042090,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051110,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051110,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051190,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051190,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051200,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051200,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051300,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051300,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051400,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051400,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051500,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051500,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051900,"Aves de um dia, exceto as ornamentais",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051900,Animais vivos,0.5
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,17,01069000,Girinos e alevinos,0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01069000,Animais vivos,0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02011000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02011000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02012010,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02012010,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02012020,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
