base,valor
Receita Bruta DIRPF,536465745890.03
Tributos NFE,2547418124.226
NFE - Exportação,33524552363.57
Base Débito (Receita DIRPF - Tributos NFE - NFE Exportação),500393775402.234
NFE - Mercado Interno,336012460747.0101
NFE - Percentual Vendas PJ (Mercado Interno),0.8271768991134452
Fator Base Débito/NFE (Mercado Interno),1.48921196044271
