ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
00000000,5351569238.47,0,-5351569238.47
00201201,50203.98,0,-50203.98
01012000,21490.96,21490.96,0
01012100,21759945.01,21759945.01,0
01012900,373127295.05,373127295.05,0
01013000,3110756.21,3110756.21,0
01019000,59437845.06999999,59437845.06999999,0
01020000,192569.86,0,-192569.86
01021010,11200,11200,0
01022110,1067584740.93,1067584740.93,0
01022190,12069184863.3,12069184863.3,0
01022911,3635664980.53,3635664980.53,4.76837158203125e-07
01022919,4596312736.57,4598082736.57,1770000
01022990,43250837785.08,43260542232.07,9704446.989997864
01023110,6372563.49,6372563.49,0
01023190,39881771.04,39881771.04,0
01023911,2849478.45,2849478.45,0
01023919,120977453.09,120977453.09,0
01023990,232107565.29,232107565.29,-2.980232238769531e-08
01029000,28914216643.37,28914216643.37,0
01029019,359421.42,359421.42,0
01029090,189735451.3,189735451.3,0
01031000,248658133.5,248658133.5,0
01039100,743959388.82,743959388.8199999,-1.192092895507812e-07
01039200,8968450671.64,8968450671.64,0
01041011,428063.05,428063.05,0
01041019,14829135.14,14829135.14,0
01041090,22925259.35,22925259.35,-3.725290298461914e-09
01042010,149892,149892,0
01042090,1214718.49,1214718.49,0
01051000,19000,0,-19000
01051100,39851.6,0,-39851.6
01051110,38438932.9,38438932.90000001,7.450580596923828e-09
01051190,1294497786.98,1294497786.98,0
01051400,37901.63,37901.63,0
01051500,55719131.17999999,55719131.17999999,0
01059010,38523.22,0,-38523.22
01059400,1992121315.56,1992121315.56,-2.384185791015625e-07
01059900,1376361240.32,1376361240.32,0
01061100,1346450,1346450,0
01061200,3997.6,3997.6,0
01061300,13500,13500,0
01061900,11502797.2,11502797.2,-1.862645149230957e-09
01063100,32762980.45000001,32762980.45000001,0
01063200,400,400,0
01063390,16592793.05,16592793.05,0
01063900,64892073.56,64892073.56,0
01064100,150500,150500,0
01064900,33180,33180,0
01069000,11471825.31,11471825.31,0
01209000,8000,0,-8000
01290000,35617.01,0,-35617.01
02011000,157192884.77,157192884.77,0
02012010,28256064.05,28256064.05,0
02012020,18868436.05,18868436.05,0
02012090,122573607.12,122573607.12,0
02013000,10505990.65,10505990.65,-1.862645149230957e-09
02019000,1770000,0,-1770000
02021000,5617836.12,5617836.12,0
02022010,2238685.1,2238685.1,0
02022020,2710117.879999999,2710117.879999999,0
02022090,10994448.48,10994448.48,0
02023000,7446472.11,7446472.11,0
02031100,6190625.52,6190625.52,0
02031900,4095934.66,4095934.66,0
02032100,16899.6,16899.6,0
02032200,601.89,601.89,0
02032900,212089.09,212089.09,0
02041000,135979.53,135979.53,0
02042200,7700,7700,0
02043000,4800,4800,0
02044200,4000,4000,0
02044300,7956,7956,0
02045000,1079723.39,1079723.39,0
02050000,1048250,1048250,0
02061000,419202.65,419202.65,0
02062100,162070.54,162070.54,0
02062200,632494.8,632494.8,0
02062990,1154242.07,1154242.07,0
02063000,31088633.28,31088633.28,3.725290298461914e-09
02071100,23443787.2,23443787.2,0
02071220,2177090.78,2177090.78,0
02071300,1965270.29,1965270.29,0
02071400,354959.25,354959.25,0
02071411,7448.7,7448.7,0
02071412,456,456,0
02071421,87100.5,87100.5,0
02071423,7600,7600,0
02089000,9097.6,9097.6,0
02091011,816,816,0
02091019,9093,9093,0
02101900,375809.74,375809.74,0
02102000,37097518.66,37097518.66,0
02109911,26417.09,26417.09,0
02109990,779522.21,779522.21,0
03011000,52973.16,52973.16,0
03011110,1225919,1225919,0
03011190,478026.6,478026.6,0
03019290,107534,107534,0
03019310,697699.95,697699.95,0
03019911,64171266.58,64171266.58,0
03019919,66161,66161,0
03019990,3897353.84,3897353.84,0
03019991,47380708.92,47380708.91999999,-7.450580596923828e-09
03019999,18351256.99,18351256.99,0
03021100,336734.24,336734.24,0
03021900,188960,188960,0
03022300,548659,548659,0
03022900,2701029.55,2701029.55,0
03023100,31175,31175,0
03023200,3260350.33,3260350.33,0
03023300,41393549.64000001,41393549.64000001,0
03023400,189285.45,189285.45,0
03023900,7423118.3,7423118.3,0
03024210,1133074,1133074,0
03024290,3446842.36,3446842.36,0
03024300,64569654.54,64569654.54,0
03024400,3617988.8,3617988.8,0
03024500,464658,464658,0
03024600,5619,5619,0
03024700,5954409.05,5954409.05,0
03024910,90090,90090,0
03024990,559850.2,559850.2,0
03025400,2443108.8,2443108.8,0
03025900,4558230.279999999,4558230.279999999,0
03026942,2010543.17,2010543.17,0
03026943,13570,13570,0
03026953,5494,5494,0
03026954,533888.5,533888.5,0
03026955,86.5,86.5,0
03026990,360,360,0
03027100,152868799.36,152868799.36,0
03027210,274288.2,274288.2,0
03027300,68.75,68.75,0
03027400,4994,4994,0
03027900,416249.5,416249.5,0
03028100,3853724.3,3853724.3,0
03028200,35000,35000,0
03028400,6928.5,6928.5,0
03028500,6502,6502,0
03028910,4892475.3,4892475.3,0
03028921,70520,70520,0
03028922,498980.1,498980.1,0
03028931,1701403,1701403,0
03028932,40661122.29,40661122.29,0
03028933,17641300.88,17641300.88,0
03028934,457300.5,457300.5,0
03028935,111328.2,111328.2,0
03028936,890541.4,890541.4,0
03028937,399993.69,399993.69,0
03028938,8629283.83,8629283.83,0
03028942,400593,400593,0
03028943,2720737.3,2720737.3,0
03028944,164910581.19,164910581.19,-2.980232238769531e-08
03028945,4050897.58,4050897.58,0
03028990,59419990.72,59419990.72,0
03029190,7100,7100,0
03029200,17723,17723,0
03029900,3073569.56,3073569.56,0
03031100,2000,2000,0
03031900,529344.71,529344.71,0
03032300,37200,37200,0
03033200,522077.08,522077.08,0
03033900,213075.99,213075.99,0
03034200,580190.4,580190.4,0
03035300,179080,179080,0
03035400,43200,43200,0
03038190,1704,1704,0
03038200,2018220,2018220,0
03038400,7916.5,7916.5,0
03038910,5385915.05,5385915.05,0
03038920,271900,271900,0
03038933,20252,20252,0
03038945,186602.4,186602.4,0
03038951,648499,648499,0
03038952,98115,98115,0
03038953,209249.5,209249.5,0
03038955,93358,93358,0
03038964,2697974.32,2697974.32,0
03038990,1508489.91,1508489.91,0
03039200,5095.2,5095.2,0
03043100,1094568.7,1094568.7,0
03043900,351179.5,351179.5,0
03045100,5833376.11,5833376.11,0
03045300,112100,112100,0
03046100,26292363.43,26292363.43,0
03047900,398,398,0
03048930,344722,344722,0
03048990,1220853.5,1220853.5,0
03049500,2706245,2706245,0
03049900,16811670.22,16811670.22,0
03056300,310128,310128,0
03057100,106715,106715,0
03057200,107746,107746,0
03057900,103729,103729,0
03061710,2321714.81,2321714.81,0
03061990,2082350,2082350,0
03069500,12186580.6,12186580.6,0
03072900,46893.3,46893.3,0
03073900,15000,15000,0
03074200,666640.3,666640.3,0
03074310,15720,15720,0
03075100,288834.5,288834.5,0
03075900,1362,1362,0
03089000,40636.8,40636.8,0
03680360,122678.3,0,-122678.3
03703340,123444.21,0,-123444.21
03920109,2008,0,-2008
04011010,19624060.92,19624060.92,0
04011090,29278042.32,29278042.32,0
04012010,9465697.090000002,9465697.090000002,0
04012090,1920587436.2,1920587436.2,0
04013010,4388.4,4388.4,0
04014010,218867236.29,218867236.29,2.980232238769531e-08
04015010,42821465.28999999,42821465.28999999,0
04015029,15712260.58,15712260.58,0
04021090,960469.94,960469.94,0
04022110,41221365.04,41221365.04,0
04022120,4514832.01,4514832.01,0
04022910,326552.64,326552.64,0
04029100,24595494.34,24595494.34,0
04029900,52504316.26000001,52504316.26000001,0
04032000,595390.4400000001,595390.4400000001,0
04039000,71,71,0
04049000,3708,3708,0
04051000,19855484.69,19855484.69,0
04059090,118642.32,118642.32,0
04061010,4017717.950000001,4017717.950000001,0
04061090,28595900.53,28595900.53,0
04062000,1382.5,1382.5,0
04063000,2747.3,2747.3,0
04069010,1996452.09,1996452.09,0
04069020,3653358.819999999,3653358.819999999,0
04069030,2486952.51,2486952.51,0
04069090,124681.05,124681.05,0
04071100,578209329.9399999,578209329.9399999,0
04071900,84100420.53,84100420.53,0
04072100,5688050867.12,5688050867.12,0
04072900,909618844.48,909618844.48,0
04079000,415289816.5100001,415289816.51,-5.960464477539062e-08
04081100,825081.06,825081.06,0
04081900,3528018.97,3528018.97,0
04089100,286626.39,286626.39,0
04089900,47283298,47283298,0
04090000,299388.64,299388.64,0
04100000,3.9,3.9,0
04101000,22002.64,22002.64,0
04109000,100,100,0
05029010,0,0,0
05040011,2317265849.33,2317265849.33,0
05040012,66750,66750,0
05040013,83521304.16,83521304.16,0
05040090,7699979.96,7699979.96,0
05051000,29410.5,29410.5,0
05059000,2463.4,2463.4,0
05069000,30300.93,30300.93,0
05080000,70960,70960,0
05100010,355004.95,355004.95,0
05100090,427941.4,427941.4,0
05111000,3915770.28,3915770.28,0
05119190,30996.15,30996.15,0
05119910,40128218.06,40128218.06,0
05119920,16140827.19,16140827.19,0
05119991,70066,70066,0
05119999,60877802.89,60877802.89,0
06011000,1169668.36,1169668.36,0
06012000,51551126.51,51551126.51000001,7.450580596923828e-09
06021000,11048745.82,11048745.82,0
06022000,119879716.57,119879716.57,0
06023000,4022451.2,4022451.2,0
06024000,1391.55,1391.55,0
06029010,5589.5,5589.5,0
06029021,85851.4,85851.4,0
06029029,66721525.82,66721525.82,0
06029081,359903433.23,359903433.23,0
06029083,247538879.16,247538879.16,0
06029089,128171423.33,128171423.33,0
06029090,222848502.64,222848502.64,0
06031100,148655693.04,148655693.04,0
06031200,3923897.05,3923897.05,0
06031300,7837736.19,7837736.190000001,9.313225746154785e-10
06031400,172938.7,172938.7,0
06031500,24873053.94,24873053.94,0
06031900,42658548.29,42658548.29,0
06039000,2132857.86,2132857.86,0
06042000,228600.76,228600.76,0
06049000,9385872.810000002,9385872.810000002,0
07011000,175741813.93,175741813.93,-2.980232238769531e-08
07019000,4147217011.06,4147217011.06,0
07020000,1026877436.35,1026877436.35,1.192092895507812e-07
07031011,919817.28,919817.28,0
07031019,498760972.49,498760972.49,0
07031029,3231941.05,3231941.05,0
07032010,24198844.3,24198844.3,0
07032090,1333415337.7,1333415337.7,0
07039010,3463941.42,3463941.42,0
