ncm,valor_produtos_servicos,base_cbs,valor_nfe_destinatario_pj,base_cbs_destinatario_pj
22071090,0,0,0,0
27101259,18002.06,26808.88306460729,14890.88816845418,22175.68876207681
27101911,230832.46,343758.4602904135,190939.2784775284,284349.0572270366
27101921,820774.2,1222306.755462797,678925.4576283186,1011063.911749132
27112990,169731.52,252766.209648121,140397.9923954117,209082.3694973917
