ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
0,-,-,-,-,2023,14055528373.71
10,0.00016112086552725125,0.00015165268955906223,12149248.658796854,12490635.555462537,2023,9338433.63
20,0.00022012434365941184,0.00021259804854610972,16598380.217367442,17510304.313843317,2023,12758226.98
30,0.00010187381218542118,0.0001148152167645002,7681750.417675814,9456574.974018369,2023,5904522.86
40,0.0003833154488808221,0.0003061881425001601,28903734.398222804,25218705.388565216,2023,22216650.01
50,0.0002948227567902555,0.0003581394311792357,22230981.510653447,29497591.674154233,2023,17087685.93
101,0.00022347000541728896,0.00021036441940950929,16850658.38439232,17326334.95865115,2023,12952138.8
102,0.0006532918479255985,0.0007373546448418744,49261187.12955007,60731057.06615548,2023,37864261.36
103,0.00012761309470790016,0.00010428532296003129,9622609.800731514,8589296.81144994,2023,7396350.63
104,0.00041312178567025977,0.0004934091456900014,31151268.23611343,40638869.22457584,2023,23944200.92
105,0.00030227545940401316,0.00028674542633956785,22792949.30382728,23617336.61313259,2023,17519638.48
106,1.9883336388072256e-05,1.3988047191730252e-05,1499294.3164418137,1152103.5341510905,2023,1152421.92
107,0.00010144759395758496,0.00016688987230886173,7649611.617924777,13745622.177678717,2023,5879819.6
108,7.149251352397771e-05,0.00013547268246873648,5390861.830358617,11157994.687452413,2023,4143647.63
109,0.0023453979287245508,0.0023865909398474716,176853708.8393569,196567813.84014854,2023,135937346.3
110,0.00038524092065977364,0.00036850759335425626,29048923.758715786,30351549.06511548,2023,22328248.78
111,0.0002505815905972007,0.00025150915222561636,18894995.651369005,20715156.24581152,2023,14523504.11
112,2.770991884469349e-05,1.7627611954009435e-05,2089454.3562535779,1451870.5686712929,2023,1606044.24
113,0.00027681398773633505,0.0003517800936923123,20873038.127225433,28973814.831459887,2023,16043912.4
114,3.741141077279808e-05,5.2883957440815285e-05,2820991.1277955472,4355704.083088863,2023,2168334.78
115,3.5760717197171216e-05,3.437009341579865e-05,2696521.2979932907,2830838.7547373357,2023,2072661.93
116,0.0007023237982292528,0.0007355437579043929,52958419.97717347,60581906.20813907,2023,40706113.11
