exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
8024,0,0,15201,0,4936,28161,79101,50940,44,71077,0.0006190469490833884,0.0008736974449677158,0.0006443834705246529,0.0007123759548585857,0.22982718737243163,0.24500554938956715,0.23875090718490444,0.23786121464896773
6326,0,0,11074,0,5709,23109,193956,170847,2232,187630,0.011895752278420295,0.014357836986021538,0.012327773749093546,0.012860454337845125,0.06087257655795648,0.07570567641343223,0.07488785512543612,0.0704887026989416
196,0,0,0,0,1091,1287,25676,24389,157,25480,0.006161695447409733,0.006187551562929691,0.007415012548482774,0.0065880865196074,0,0,0,0
234,0,0,0,0,4573,4807,47361,42554,81,47127,0.0017187599465274684,0.0023805981252789763,0.002468485666326564,0.002189281246044336,0,0,0,0
12672,0,0,5550,0,5318,23540,124657,101117,1148,111985,0.010251372951734608,0.01225771030268309,0.011469515574055698,0.011326199609491133,0.05203108740285187,0.059572837850780574,0.06227462578151348,0.05795951701171531
27640,0,0,0,0,-534,27106,43744,16638,0,16104,0,0,0,0,0,0,0,0
53540,0,0,275,511,8609,62935,339710,276775,333,286170,0.0011636439878393962,0.0018736160790325327,0.0020824183313392602,0.0017065594660703963,0.0028318099444806727,0.004137305146273756,0.003921328818327053,0.003630147969693827
61216,0,0,797,0,276,62289,170586,108297,33,109370,0.00030172807899789706,0.0004134427972358396,0.0004104091931659269,0.0003751933564665545,0.007305626340587017,0.009908144689484581,0.0102113368530929,0.0091417026277215
238,0,0,0,0,379,617,13215,12598,0,12977,0,0,0,0,0,0,0,0
11330,0,0,22901,18691,6581,59503,276739,217236,2624,265409,0.009886627808401372,0.011885956251782619,0.01205036946035302,0.011274317840179003,0.1606935880198433,0.18887712038810442,0.1903210314830913,0.179963913297013
727,0,0,0,697,2021,3445,76172,72727,133,75445,0.0017628736165418517,0.0027150756059374937,0.0036857094990785724,0.0027212195738526394,0.009492808890825887,0.01028870980361474,0.009829049780139676,0.009870189491526767
661,0,0,38445,25395,1869,66370,100026,33656,3082,99365,0.031016957681276103,0.03551175251280848,0.03824492468893255,0.03492454496100571,0.6547960941987364,0.6928310263776443,0.6839461198348928,0.6771910801370912
2062,0,0,86295,48687,2393,139437,173082,33645,23,171020,0.00013448719448017776,0.00022518219286513634,0.00030001243954017607,0.0002198939422951634,0.8004767919728157,0.8010415807843461,0.7975627769571639,0.7996937165714418
2447,0,0,5209,26682,1191,35529,54089,18560,1659,51642,0.03212501452306262,0.034526277832867575,0.029854939217489017,0.03216874385780641,0.6321182929971656,0.6628135759960649,0.65346585908785,0.6494659093603602
14547,0,0,4898,47460,11054,77959,202102,124143,385,187555,0.002052731198848338,0.0023822880164356018,0.0027657781055737012,0.0024002657736192138,0.2966442116475261,0.2943855568972971,0.29561655495265454,0.29554877449915923
1427,0,0,60230,4212,5219,71088,75991,4903,0,74564,0,0,0,0,0.9292955512293605,0.940287897636396,0.9413437742400177,0.936975741035258
5552,0,0,451,76064,0,82067,94718,12651,0,89166,0,0,0,0,0.8581185653724513,0.8564158338634544,0.8634113411341134,0.8593152467900064
16484,0,0,0,36120,0,52604,66132,13528,0,49648,0,0,0,0,0.7275217531421205,0.6923360920530413,0.6153045740299155,0.6783874730750258
23358,0,0,11059,129625,3066,167108,302256,135148,682,278898,0.0024453384391426255,0.002878438399512,0.0026181810061853827,0.002647319281613336,0.5100350938252269,0.5097573647588943,0.5452323016396425,0.5216749200745879
