ref,valor_nfe,base_cbs,valor_nfe_destinatario_pj,base_cbs_destinatario_pj
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",0,0,0,0
Alíquota 0% - Cesta Básica - Anexo I - Art 125,13371904642.49,20087341768.13143,11395859583.2277,17118917036.13767
Alíquota 0% - Cuidados básicos - art 147,0,0,0,0
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,0,0,0,0
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,0,0,0,0
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,0,0,0,0
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,0,0,0,0
Alíquota 0% - Medicamentos - art 146,4186070.66,6288336.199001606,3567470.358354745,5359071.74421833
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,20527216712.39,30836087204.81387,17493789070.67361,26279257089.94495
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",424699420.01,637985584.4439735,361939086.8323582,543706699.2943459
Alíquota de Referência - Demais Produtos,2937154920.5,4412208753.460419,2503114249.09859,3760190694.6414
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,48507799201.4325,72868657609.39381,41339516184.88314,62100427152.03795
Alíquota reduzida 60%  -Dispositivos acessibilidade - Anexo V - Art 132,0,0,0,0
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,453100.2125,680649.396405332,386142.9270422268,580065.8286327329
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,142036950387.9483,213368614451.513,121047314165.5256,181837878355.1147
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",0,0,0,0
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,139242.8612121212,209171.319772404,118666.1239938903,178260.842617022
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,110330839615.2455,165739536899.931,94026602011.48631,141247229949.5171
Alíquota reduzida 60%  -Produtos higiene - Anexo VIII - Art 136,0,0,0,0
Alíquota reduzida 60% - Anexo X - art 139,0,0,0,0
"Alíquota reduzida 60% - bens e serviços relacionados à soberania, segurança (nacional, da informação e cibernética) - Anexo XI - art 142",0,0,0,0
