ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
00000000,6095425124.799997,0,-6095425124.799997
00000001,1292524.92,0,-1292524.92
00000002,283.58,0,-283.58
00000003,2190,0,-2190
00000004,1085.57,0,-1085.57
00000007,900,0,-900
00000009,7408.7,0,-7408.7
00000010,1043.96,0,-1043.96
00000013,250,0,-250
00000016,212.82,0,-212.82
00000017,22.99,0,-22.99
00000018,40,0,-40
00000019,20853.9,0,-20853.9
00000021,587,0,-587
00000022,1522.29,0,-1522.29
00000025,30,0,-30
00000027,89,0,-89
00000034,28,0,-28
00000038,168.7,0,-168.7
00000040,5020,0,-5020
00000044,323,0,-323
00000048,7.49,0,-7.49
00000058,780,0,-780
00000068,8,0,-8
00000071,7600,0,-7600
00000072,11385,0,-11385
00000073,174159.5,0,-174159.5
00000080,100,0,-100
00000081,100,0,-100
00000082,1600,0,-1600
00000083,36.2,0,-36.2
00000084,148189,0,-148189
00000085,50099,0,-50099
00000087,36.7,0,-36.7
00000098,6319.38,0,-6319.38
00000099,948482.59,0,-948482.59
00000100,819.15,0,-819.15
00000102,18.99,0,-18.99
00000186,30,0,-30
00000188,87,0,-87
00000321,160,0,-160
00000702,23180,0,-23180
00000704,35,0,-35
00000705,2099.65,0,-2099.65
00000732,16637.24,0,-16637.24
00000870,537.86,0,-537.86
00001199,50,0,-50
00001234,320,0,-320
00001404,342627,0,-342627
00003506,78.34,0,-78.34
00003837,475.2,0,-475.2
00004013,390,0,-390
00004516,20,0,-20
00006203,20,0,-20
00006206,1062.8,0,-1062.8
00006908,5061.04,0,-5061.04
00007214,525,0,-525
00007310,850.78,0,-850.78
00008141,180,0,-180
00008403,8023.4,0,-8023.4
00008433,1000,0,-1000
00008481,102,0,-102
00008538,299.68,0,-299.68
00008703,1365,0,-1365
00008880,284,0,-284
00008907,547,0,-547
00008922,34,0,-34
00009101,4.99,0,-4.99
00009505,1640,0,-1640
00009879,140,0,-140
00012802,1204400,0,-1204400
00017489,150,0,-150
00020066,80,0,-80
00022255,72.88999999999999,0,-72.88999999999999
00022858,1140,0,-1140
00040011,114.3,0,-114.3
00061044,1947,0,-1947
00061046,2400,0,-2400
00061112,4.8,0,-4.8
00062044,70,0,-70
00062045,44,0,-44
00062046,12,0,-12
00102900,83467.46,0,-83467.46
00120730,14.89,0,-14.89
00123354,30,0,-30
00125474,603.54,0,-603.54
00133399,82.5,0,-82.5
00151814,7.2,0,-7.2
00161507,678.05,0,-678.05
00172820,20,0,-20
00199900,7.65,0,-7.65
00201300,164.16,0,-164.16
00209001,4577.33,0,-4577.33
00220410,834,0,-834
