codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
130,"GERENTE OU SUPERVISOR DE EMPRESA INDUSTRIAL, COMERCIAL OU PRESTADORA DE SERVIÇOS",,744511533.7601136,770639965.5500537,,,0.5,0.5,20358469.111492347,385319982.77502686,20358469.111492347,2023,372255766.8800568
131,GERENTE OU SUPERVISOR DE EMPRESA PÚBLICA E SOCIEDADE DE ECONOMIA MISTA,,18105820.70944118,13211119.39385618,,,0.5,0.5,704102.4940911982,6605559.69692809,704102.4940911982,2023,9052910.35472059
140,"PRESIDENTE, DIRETOR, GERENTE E SUPERVISOR DE ORGANISMO INTERNACIONAL E DE ORGANIZAÇÃO NÃO-GOVERNAMENTAL",,34054652.39794776,31508261.73459834,,,0.5,0.5,737954.3716713516,15754130.86729917,737954.3716713516,2023,17027326.19897388
211,"MATEMÁTICO, ESTATÍSTICO, ATUÁRIO E AFINS","LC 214/2025, art 127",9615026.85153967,8971193.592342619,7380,7490,0.01736158728243161,0.9826384127175684,407869.57510804903,8815439.43176157,407869.57510804903,2023,9448094.72363374
212,"ANALISTA DE SISTEMAS, DESENVOLVEDOR DE SOFTWARE, ADMINISTRADOR DE REDES E BANCOS DE DADOS E OUTROS ESPECIALISTAS EM INFORMÁTICA (EXCETO TÉCNICOS)",,143607639.8630703,141360432.28709316,,,0.5,0.5,4482001.794604527,70680216.14354658,4482001.794604527,2023,71803819.93153515
213,"FÍSICO, QUÍMICO, METEOROLOGISTA, GEÓLOGO, OCEANÓGRAFO E AFINS","LC 214/2025, art 127",13623743.019124286,13384803.562902233,7380,7490,0.01736158728243161,0.9826384127175684,365736.0863922556,13152422.127586704,365736.0863922556,2023,13387213.215584341
214,"ENGENHEIRO, ARQUITETO E AFINS","LC 214/2025, art 127",837289933.7452594,864772764.2103752,7180,7112,0.41733223453661844,0.5826677654633816,33902672.603737704,503875214.1560511,33902672.603737704,2023,487861854.74033314
215,"PILOTO DE AERONAVES, COMANDANTE DE EMBARCAÇÕES E OFICIAIS DE MÁQUINAS",,6642594.708487529,7397601.5520489,,,0.5,0.5,659340.6615493903,3698800.77602445,659340.6615493903,2023,3321297.3542437647
221,"BIÓLOGO, BIOMÉDICO E AFINS","LC 214/2025, art 127",72390750.83851497,88454434.38061368,7380,7490,0.01736158728243161,0.9826384127175684,7861026.677892776,86918724.99759653,7861026.677892776,2023,71133932.49939133
222,AGRÔNOMO E AFINS,"LC 214/2025, art 127",43770176.93282041,46634789.64593656,7380,7490,0.01736158728243161,0.9826384127175684,1266012.9944671295,45825135.675100796,1266012.9944671295,2023,43010257.18563377
224,PROFISSIONAL DA EDUCAÇÃO FÍSICA (EXCETO PROFESSOR),"LC 214/2025, art 127",261126190.14060655,293611126.3586209,8592,8591,0.8621415167655477,0.13785848323445227,5559179.852555525,40476784.540558584,5559179.852555525,2023,35998460.5055752
225,MÉDICO,Profissionais de saúde,4846347289.601543,4951715410.750405,8692,8630,0.8767171182309692,0.1232828817690308,2165316129.754871,610461745.5374299,2165316129.754871,2023,597471659.91561
226,ODONTÓLOGO,Profissionais de saúde,12846095943.735287,13407102465.501535,8692,8630,0.8767171182309692,0.1232828817690308,2555907117.8401127,1652866228.119707,2555907117.8401127,2023,1583703727.4251435
