ncm,valor_produtos_servicos,base_cbs,valor_nfe_destinatario_pj,base_cbs_destinatario_pj
22071090,436.24,655.3219011961113,371.774247386611,558.4811264742971
27101251,31061.66,46660.98039039796,26471.49566541078,39765.61266037414
27101259,40294.99,60531.33471363995,34340.36214171332,51586.26308103461
27101911,575499.48,864518.1857944559,490454.5343122731,736763.2447179814
27101921,8231465.550000001,12365348.5555114,7015053.433293752,10538048.21405275
27101922,4812.08,7228.730548110635,4100.970613341654,6160.498484972573
27111910,2782.88,4180.456199341267,2371.637441700101,3562.685579595617
27112990,122177,183534.8980433644,104122.1855468411,156412.8658290166
