ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
01063900,24485548.51,24485548.51,0
01064100,13978.4,13978.4,0
01064900,2590778.49,2590778.49,0
01068045,209.6,0,-209.6
01069000,50299935.59,50299935.59,0
01069010,14.85,0,-14.85
01071200,78.87,0,-78.87
01071400,18.53,0,-18.53
01075000,87,0,-87
01100034,210,0,-210
01131000,1350,0,-1350
01201049,27.98,0,-27.98
01253610,1200,0,-1200
01254554,75,0,-75
01352962,470.96,0,-470.96
01403100,21000,0,-21000
01482556,3.6,0,-3.6
01511900,420,0,-420
01693005,30,0,-30
01703200,29.71,0,-29.71
01842055,172,0,-172
01901200,69.8,0,-69.8
02010210,250,0,-250
02010990,2559,0,-2559
02011000,10897443.34,10897443.34,0
02011300,625.53,0,-625.53
02011900,194.78,0,-194.78
02012010,10593025.61,10593025.61,0
02012020,7750014.970000001,7750014.970000001,0
02012090,62690397.19,62690397.19,0
02012092,2057.76,0,-2057.76
02012093,278.76,0,-278.76
02012096,17.88,0,-17.88
02012100,210,0,-210
02013000,61306645.96,61306645.96,0
02020000,272.93,0,-272.93
02021000,921785.39,921785.39,0
02022010,2474890.21,2474890.21,0
02022020,602723.27,602723.27,0
02022090,4286777.21,4286777.21,0
02023000,19732921.77,19732921.77,0
02030605,495,0,-495
02031000,213.66,0,-213.66
02031100,6944408.23,6944408.23,0
02031200,2366504.06,2366504.06,0
02031900,6545064.270000001,6545064.270000001,0
02031999,41000.82,0,-41000.82
02032100,682492.3699999999,682492.3699999999,0
02032200,955104.5800000002,955104.5800000002,0
02032900,10741990.77,10741990.77,0
02041000,32540.09,32540.09,0
02042100,26528.62,26528.62,0
02042200,143401.68,143401.68,0
02042300,18071.48,18071.48,0
02043000,18055.08,18055.08,0
02044100,3298.4,3298.4,0
02044200,173671.59,173671.59,0
02044300,197543.8300000001,197543.8300000001,0
02045000,89160.57,89160.57,0
02050000,1541803.45,1541803.45,0
02059000,2449.98,0,-2449.98
02061000,3653887.96,3653887.96,0
02062100,33646.52,33646.52,0
02062200,2351841.2,2351841.2,0
02062910,834536.7699999999,834536.7699999999,0
02062990,1037954.14,1037954.14,0
02063000,916286.9700000001,916286.9700000001,0
02064100,78342.57,78342.57,0
02064900,307831.9,307831.9,0
02068000,70845.77000000002,70845.77000000002,0
02069000,554.21,554.21,0
02069090,2620.2,0,-2620.2
02070000,248.92,0,-248.92
02070020,7875,0,-7875
02071100,2760795.03,2760795.03,0
02071200,2848923.849999999,2848923.849999999,0
02071210,3285450.279999999,3285450.279999999,0
02071220,723417.18,723417.18,0
02071300,3754758.429999999,3754758.429999999,0
02071400,36545763.23000002,36545763.23000002,0
02072400,49743.88,49743.88,0
02072500,227495.7399999999,227495.7399999999,0
02072600,9016.71,9016.71,0
02072700,233667.64,233667.64,0
02074100,4384.73,4384.73,0
02074200,36106.81,36106.81,0
02074300,18616.35,18616.35,0
02074400,4082.25,4082.25,0
02074500,33246.41,33246.41,0
02075200,42773.39999999999,42773.39999999999,0
