contribuinte_pessoa_fisica,debitos_apurados,debitos_apurados_1,creditos_apurados,creditos_apurados_1,arrecadacao_estimada,arrecadacao_estimada_1,debitos_apurados_2,debitos_apurados_3,creditos_apurados_2,creditos_apurados_3,arrecadacao_estimada_2,arrecadacao_estimada_3
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,0,0,1.8881865190396558,0,0,,0,0,1.8881865190396558,0,0,
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,0.034,0.4525949003605597,13.31161471648705,0,0,,0.034,0.4525949003605597,13.31161471648705,0,0,
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,0.034,9.517271119569338,279.9197388108629,0,0,,0.034,9.517271119569338,279.9197388108629,0,0,
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,0.034,1.7893480024715438,52.627882425633636,0,0,,0.034,1.7893480024715438,52.627882425633636,0,0,
Alíquota de Referência - Demais Produtos,0.085,9.9436082060466,116.9836259534894,0.7866179897112667,9.254329290720785,,0.085,9.9436082060466,116.9836259534894,0.7866179897112667,9.254329290720785,
Alíquota ad rem diesel - Combustíveis (R$/L),0.3515,1.5065760089303983,24.85957568078609,0,0,,0.3515,1.5065760089303983,24.85957568078609,0,0,
Preço médio por litro diesel 2023 (ANP),5.8,,,,,,5.8,,,,,
,,,,(R$ bilhões),,,,,,(R$ bilhões),,
,,,2024,,,,,,2024,,,
,,Créditos apurados,BC dos custos e despesas (Créditos),,,,,Créditos apurados,BC dos custos e despesas (Créditos),,,
Custos e despesas sujeitos a tomada de crédito tributado as seguintes alíquotas,Alíquota CBS,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,,Alíquota CBS,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,
Total,,21.856826613678155,,0.853587525753589,,,,21.856826613678155,,0.853587525753589,,
Alíquota 0% - Cesta Básica - Anexo I - Art 125,0,0,2.043708903014986,0,0,,0,0,2.043708903014986,0,0,
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,0,0,2.716120704411783,0,0,,0,0,2.716120704411783,0,0,
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,0.034,0.44683723949674115,13.14227174990415,0,0,,0.034,0.44683723949674115,13.14227174990415,0,0,
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,0.034,9.320622277283432,274.1359493318656,0,0,,0.034,9.320622277283432,274.1359493318656,0,0,
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,0.034,2.058828446529017,60.55377783908873,0,0,,0.034,2.058828446529017,60.55377783908873,0,0,
Alíquota de Referência - Demais Produtos,0.085,8.54357363019337,100.5126309434514,0.853587525753589,10.04220618533634,,0.085,8.54357363019337,100.5126309434514,0.853587525753589,10.04220618533634,
Alíquota ad rem diesel - Combustíveis (R$/L),0.3515,1.4869650201755955,25.21283505048805,0,0,,0.3515,1.4869650201755955,25.21283505048805,0,0,
Preço médio por litro diesel 2024 (ANP),5.96,,,,,,5.96,,,,,
II. AJUSTE NO RESULTADO DO MÓDULO CENTRAL,,,,,,,,,,,,
,,2023,,,,2024,,2023,,,,2024
