codigo_ncm,nome_ncm,codigo_produto,descricao_produto
51011110,"Lã suja, incluindo a lã lavada a dorso, não cardada nem penteada, de tosquia, de finura superior ou igual 22,05 micrômetros (mícrons) mas inferior ou igual a 32,6 micrômetros (mícrons)",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
51011190,"Outras lãs de tosquia, suja, incluindo a lã lavada a dorso, não cardada nem penteada",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
51011900,"Outras lãs sujas, não cardadas nem penteadas",10911,Carne de bovinos e outros prod. de carne
51012100,"Lã de tosquia, desengordurada, não carbonizada, não cardada, não penteada",13001,Fios e fibras têxteis beneficiadas
51012900,"Outras lãs desengorduradas não carbonizadas, não cardadas,  não penteadas",13001,Fios e fibras têxteis beneficiadas
51013000,"Lã desengordurada, carbonizada, não cardada nem penteada",13001,Fios e fibras têxteis beneficiadas
51021100,"Pelos finos, não cardados nem penteados, de cabra de Caxemira",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
51021900,"Pelos finos, não cardados nem penteados",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
51022000,"Pelos grosseiros, não cardados nem penteados",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
51031000,Desperdícios da penteação de lã ou de pelos finos,13001,Fios e fibras têxteis beneficiadas
51032000,Outros desperdícios de lã ou de pelos finos,13001,Fios e fibras têxteis beneficiadas
51033000,Desperdícios de pelos grosseiros,13001,Fios e fibras têxteis beneficiadas
51040000,Fiapos de lã ou de pelos finos ou grosseiros,13001,Fios e fibras têxteis beneficiadas
51051000,Lã cardada,13001,Fios e fibras têxteis beneficiadas
51052100,Lã penteada a granel,13001,Fios e fibras têxteis beneficiadas
51052910,Tops de lã penteada,13001,Fios e fibras têxteis beneficiadas
51052991,"Outras lãs penteadas, de finura inferior a 22,5 micrômetros (mícrons)",13001,Fios e fibras têxteis beneficiadas
51052999,Outras lãs penteadas,13001,Fios e fibras têxteis beneficiadas
51053100,"Pelos finos, cardados ou penteados, de cabra de Caxemira",13001,Fios e fibras têxteis beneficiadas
51053900,"Outros pelos finos, cardados ou penteados",13001,Fios e fibras têxteis beneficiadas
51054000,"Pelos grosseiros, cardados ou penteados",13001,Fios e fibras têxteis beneficiadas
51061000,"Fios de lã cardada, não acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de lã",13001,Fios e fibras têxteis beneficiadas
51062000,"Fios de lã cardada, não acondicionados para venda a retalho, que contenham menos de 85 %, em peso, de lã",13001,Fios e fibras têxteis beneficiadas
51071011,"Fios de lã penteada, não acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de lã, retorcidos ou retorcidos múltiplos, de dois cabos, de título inferior ou igual a 184,58 decitex por cabo",13001,Fios e fibras têxteis beneficiadas
51071019,"Outros fios de lã penteada, retorcidos ou retorcidos múltiplos, que contenham pelo menos 85 %, em peso, de lã",13001,Fios e fibras têxteis beneficiadas
51071090,"Outros fios de lã penteada que contenham pelo menos 85 %, em peso, de lã",13001,Fios e fibras têxteis beneficiadas
51072000,"Fios de lã penteada que contenham menos de 85 %, em peso, de lã",13001,Fios e fibras têxteis beneficiadas
51081000,"Fios de pelos finos, cardados, não acondicionados para venda a retalho.",13001,Fios e fibras têxteis beneficiadas
51082000,"Fios de pelos finos, penteados, não acondicionados para venda a retalho.",13001,Fios e fibras têxteis beneficiadas
51091000,"Fios de lã ou de pelos finos, acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de lã ou de pelos finos",13001,Fios e fibras têxteis beneficiadas
