codigo_ncm,nome_ncm,codigo_produto,descricao_produto
52052700,"Fios simples de algodão,de fibras penteadas,que contenham pelo menos 85 %,em peso,de algodão,não acondicionados para venda a retalho,de título inferior a 106,38 decitex mas não inferior a 83,33 decitex (número métrico superior a 94 mas não superior a 120)",13001,Fios e fibras têxteis beneficiadas
52052800,"Fios simples de algodão, de fibras penteadas, que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 83,33 decitex (número métrico superior a 120)",13001,Fios e fibras têxteis beneficiadas
52053100,"Fios de algodão retorcidos ou retorcidos múltiplos, de fibras não penteadas, que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título >= 714,29 decitex por fio simples (número métrico < 14, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52053200,"Fios de algodão retorcidos ou retorcidos múltiplos, de fibras não penteadas, que contenham pelo menos 85 %, em peso, de algodão, de título < 714,29 decitex mas > 232,56 decitex, por fio simples (número métrico > 14 e < 43, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52053300,"Fios de algodão retorcidos ou retorcidos múltiplos, de fibras não penteadas, que contenham pelo menos 85 %, em peso, de algodão, de título < 232,56 decitex mas > 192,31 decitex, por fio simples (número métrico > 43 mas < 52, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52053400,"Fios de algodão retorcidos ou retorcidos múltiplos, de fibras não penteadas, que contenham pelo menos 85 %, em peso, de algodão, de título < 192,31 decitex mas > 125 decitex, por fio simples (número métrico > 52 mas < 80, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52053500,"Fios de algodão retorcidos ou retorcidos múltiplos, de fibras não penteadas, que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 125 decitex por fio simples (número métrico > 80, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054100,"Fios de algodão que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho, retorcidos ou retorcidos múltiplos, de fibras penteadas, de título >= 714,29 decitex por fio simples (número métrico < 14, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054200,"Fios de algodão que contenham pelo menos 85 %,em peso,de algodão,não acondicionados para venda a retalho,retorcidos ou retorcidos múltiplos,fibras penteadas,título < 714,29 decitex mas > 232,56 decitex,por fio simples (num.met >14 e < 43, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054300,"Fios de algodão contendo ao menos 85 %,em peso,de algodão,não acondicionados para venda retalho,retorcidos ou retorcidos múltiplos,fibras penteadas,título < 232,56 decitex mas > 192,31 decitex,por fio simples (núm.met.> 43 mas < 52, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054400,"Fios de algodão contendo ao menos 85 %,em peso,de algodão,não acondicionados para venda a retalho, retorcidos ou retorcidos múltiplos, fibras penteadas, título < 192,31 decitex mas > 125 decitex,por fio simples (número métrico > 52 mas <  80, fio simples)",13001,Fios e fibras têxteis beneficiadas
52054600,"Fios de algodão contendo ao menos 85 %, peso,de algodão,não acondicionados para venda a retalho, retorcidos ou retorcidos múltiplos,fibras penteadas, título < 125 decitex mas > 106,38 decitex, por fio simples (número métrico > 80 mas < 94,por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054700,"Fios de algodão contendo ao menos 85 %, em peso,de algodão, não acondicionados para venda a retalho, retorcidos ou retorcidos múltiplos, fibras penteadas, título < 106,38 decitex mas > 83,33 decitex,por fio simples (núm.mét. > 94 e < 120, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52054800,"Fios de algodão contendo ao menos 85 %, em peso,de algodão, não acondicionados para venda a retalho,retorcidos ou retorcidos múltiplos,de fibras penteadas, de título inferior a 83,33 decitex por fio simples (número métrico superior a 120, por fio simples)",13001,Fios e fibras têxteis beneficiadas
52061100,"Fios simples de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título igual ou superior a 714,29 decitex (número métrico não superior a 14)",13001,Fios e fibras têxteis beneficiadas
52061200,"Fios simples de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 714,29 decitex mas não inferior a 232,56 decitex (número métrico superior a 14 mas não superior a 43)",13001,Fios e fibras têxteis beneficiadas
52061300,"Fios simples de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52)",13001,Fios e fibras têxteis beneficiadas
52061400,"Fios simples de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 192,31 decitex mas não inferior a 125 decitex (número métrico superior a 52 mas não superior a 80)",13001,Fios e fibras têxteis beneficiadas
52061500,"Fios simples de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)",13001,Fios e fibras têxteis beneficiadas
52062100,"Fios simples de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título igual ou superior a 714,29 decitex (número métrico não superior a 14)",13001,Fios e fibras têxteis beneficiadas
52062200,"Fios simples de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 714,29 decitex mas não inferior a 232,56 decitex (número métrico superior a 14 mas não superior a 43)",13001,Fios e fibras têxteis beneficiadas
52062300,"Fios simples de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43 mas não superior a 52)",13001,Fios e fibras têxteis beneficiadas
52062400,"Fios simples de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 192,31 decitex mas não inferior a 125 decitex (número métrico superior a 52 mas não superior a 80)",13001,Fios e fibras têxteis beneficiadas
52062500,"Fios simples de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)",13001,Fios e fibras têxteis beneficiadas
52063100,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título igual ou superior a 714,29 decitex (número métrico não superior a 14)",13001,Fios e fibras têxteis beneficiadas
