ncm,valor_produtos_servicos,tributos_nfe,base_cbs
22071010,12442015.69,140550.19,15943527.04213387
22071090,86283987.18000013,109708223.41,110566576.7656224
22072011,2405026.95,1875.54,3081864.962218652
27101251,62859954.07,5689846.859999999,80550402.96949969
27101259,201501094.8000019,3445784.240000001,258208817.1248247
27101911,259147412.23,35590156.32,332078328.6030415
27101921,18610625974.57002,203093127.92,23848146947.36943
27101922,850337.1299999999,181196.25,1089644.424575187
27111100,478428.63,1185.04,613071.0642220752
27111910,160371233.19,137946.74,205503927.7277363
27112100,2237301.370000001,288462.3099999999,2866936.980530214
27112990,12047.33,212.99,15437.76638980517
38260000,710300.65,11363.93,910197.9858795904
