aliquotas,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_1,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_2,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_3
TOTAL,,,,
Alíquota 0% - Cesta Básica - Anexo I - Art 125,17.11891703613767,21.26395653339001,17.11891703613767,21.26395653339001
Alíquota 0% - Medicamentos - art 146,0.005359071744218329,0.001399674045233526,0.005359071744218329,0.001399674045233526
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,26.27925708994495,30.15084417001117,26.27925708994495,30.15084417001117
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",0.5437066992943458,0.3841717721746237,0.5437066992943458,0.3841717721746237
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,62.10042715203793,49.346720006507766,62.10042715203793,49.346720006507766
Alíquota reduzida 60% - Anexo X - art 139,0,7.432933008243031e-05,0,7.432933008243031e-05
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,0.0005800658286327329,0.01552956097207704,0.0005800658286327329,0.01552956097207704
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,181.83787835511458,165.8673528722959,181.83787835511458,165.8673528722959
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,0.000178260842617022,0.001064071629070156,0.000178260842617022,0.001064071629070156
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,141.24722994951708,143.38008679057958,141.24722994951708,143.38008679057958
Alíquota de Referência - Demais Produtos,3.7601906946413997,3.5014450209269827,3.7601906946413997,3.5014450209269827
DADOS,,,,
- Declaração do Imposto de Renda das Pessoas Físicas (DIRPF),,,,
- Nota Fiscal Eletrônica (NF-e),,,,
Especificação,,,,
Periodicidade,,,,
2023-2024,,,,
Escopo,,,,
"Receitas da atividade rural dos produtores com renda anual superior a R$ 3,6 milhões, declarados na DIRPF",,,,
Notas Fiscais emitidas por produtor rural PF ou pela empresa adquirente de sua produção,,,,
Informação a extrair,,,,
"Identificação do CPF dos produtores rurais PF na DIRPF => preencheu ficha de atividade rural e declarou mais de R$ 3,6 milhões de receita",,,,
Valor da receita da atividade rural declaradas na DIRPF,,,,
Identificação das NF-e de venda emitidas pelos produtores rurais PF,,,,
Identificação das NF-e de venda emitidas pelos produtores rurais PF com cadastro no CNPJ (apenas para efeito de emissão de nota fiscal),,,,
Identificação das NF-e de compra emitidas pelas empresas adquirentes do produtor rural PF,,,,
Identificação do tipo de adquirente da produção rural (pessoa física ou pessoa jurídica),,,,
"Valor das operações de venda de bens, informados na NF-e",,,,
Segregação/Tratamento dos Dados,,,,
"Estimativa da parcela das vendas do produtur rural PF pela divisão do valor dos bens vendidos para adquirente pessoa jurídica pelo valor total dos bens vendidos, registrado em NF-e",,,,
Aplicação desse percentual sobre os dados produzidos na tabela 10.1.1,,,,
