ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao_antes_tratamento,proporcao_apos_tratamento,diferenca
Alíquota de Referência - Demais Produtos,GERAL,-,-,28051200,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - -- Cálcio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28051900,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Outros Metais Alcalinos",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28051910,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Estrôncio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28051920,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Bário",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28051990,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28052100,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Calcio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28052210,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Estroncio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28052220,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Bario",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28053010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Liga de cério, com um teor de ferro inferior ou igual a 5 %, em peso (Mischmetal)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28053090,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28054000,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Metais alcalinos ou alcalinoterrosos; metais de terras raras, escândio e ítrio, mesmo misturados ou ligados entre si; mercúrio. - - Mercúrio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28061010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Cloreto de hidrogênio (ácido clorídrico); ácido clorossulfúrico. - Em estado gasoso ou liquefeito",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28061020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Cloreto de hidrogênio (ácido clorídrico); ácido clorossulfúrico. - Em solução aquosa",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28061020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Cloreto de hidrogênio (ácido clorídrico); ácido clorossulfúrico. - Em solução aquosa","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28062000,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Cloreto de hidrogênio (ácido clorídrico); ácido clorossulfúrico. - - Ácido clorossulfúrico",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28070010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido sulfúrico",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28070010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido sulfúrico","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28070020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido sulfúrico fumante (óleum)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28080010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido nítrico",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28080010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido nítrico","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28080020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácidos sulfonítricos",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28091000,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - - Pentóxido de difósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28092011,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Com um teor de ferro inferior a 750 ppm",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28092011,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Com um teor de ferro inferior a 750 ppm","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28092019,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Outros",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28092019,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Outros","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28092020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Ácidos metafosfóricos",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28092030,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Ácido pirofosfórico",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28092090,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, de constituição química definida ou não. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28100010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Ácido ortobórico",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28100090,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - NÃO INFORMADO - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111100,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - -- Fluoreto de hidrogênio (ácido fluorídrico)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111200,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - -- Cianeto de hidrogênio (ácido cianídrico ou ácido hidrociânico)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111910,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Ácido aminossulfônico (ácido sulfâmico)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111920,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Ácido fosfônico (ácido fosforoso)",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,8,28111920,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Ácido fosfônico (ácido fosforoso)","Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à fabricação de fertilizantes",1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111930,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Ácido perclórico",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111940,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Fluorácidos e outros compostos de flúor",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111950,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Cianeto de hidrogênio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28111990,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Outros",-,0,0,0
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,GERAL,Redução de 60%,14,28111990,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Outros",Ácido selenioso,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112100,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - -- Dióxido de carbono",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112210,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Obtido por precipitação química",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112220,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Tipo aerogel",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112230,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Gel de sílica",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112290,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112300,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Dioxido De Enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112900,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Outs.Comp.Oxigen.Inorg.D/Elementos N/Metal",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112910,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Dióxido de enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28112990,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121011,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Tricloreto de fósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121012,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Pentacloreto de fósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121013,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Monocloreto de enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121014,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Dicloreto de enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121015,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Tricloreto de arsênio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121019,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121021,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Oxidicloreto de enxofre (cloreto de tionila)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121022,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Oxitricloreto de fósforo (cloreto de fosforila)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121023,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Oxidicloreto de carbono (fosgênio ou cloreto de carbonila)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121029,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121100,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Dicloreto de carbonila (fosgênio)",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121200,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Oxicloreto de fósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121300,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Tricloreto de fósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121400,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Pentacloreto de fósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121500,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Monocloreto de enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121600,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Dicloreto de enxofre",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121700,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - -- Cloreto de tionila",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121911,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Tricloreto de arsênio",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121919,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28121920,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - Oxicloretos",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28129000,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Halogenetos e oxialogenetos dos elementos não metálicos. - - Outros",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28131000,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Sulfetos dos elementos não metálicos; trissulfeto de fósforo comercial. - - Dissulfeto de carbono",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28139010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Sulfetos dos elementos não metálicos; trissulfeto de fósforo comercial. - Pentassulfeto de difósforo",-,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,28139090,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Sulfetos dos elementos não metálicos; trissulfeto de fósforo comercial. - Outros",-,1,1,0
