ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao_antes_tratamento,proporcao_apos_tratamento,diferenca
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
