base,valor
Despesa Total DIRPF,519042160229.96
Esocial,24869040117.40939
NFE Tributos,10142047095.0861
"Arrecadação Tributos (IRRF, Contribuição Previdenciária, ITR)",5713778495.24
Base Créditos (Despesa DIRPF - Esocial - Tributos),478317294522.2245
NFE,370866116915.55
Fator Base Créditos/NFE,1.289730370895927
